movie_id,title,genres,year,original_language,budget,overview,popularity,revenue,tagline,tmdb_vote_avg,tmdb_vote_count,tmdb_id
11,"american president, the",comedy drama romance,1995,en,62000000,"Widowed U.S. president Andrew Shepherd, one of the world's most powerful men, can have anything he wants -- and what he covets most is Sydney Ellen Wade, a Washington lobbyist. But Shepherd's attempts at courting her spark wild rumors and decimate his approval ratings.",12,107879496,Why can't the most powerful man in the world have the one thing he wants most?,6,538,9087
12,dracula: dead and loving it,comedy horror,1995,en,30000000,"When a lawyer shows up at the vampire's doorstep, he falls prey to his charms and joins him in his search for fresh blood. Enter Professor Van Helsing, who may be the only one able to vanquish the Count.",23,10772144,,6,723,6521
13,balto,animation children's,1995,en,0,"An outcast half-wolf risks his life to prevent a deadly epidemic from ravaging Nome, Alaska.",24,11348324,Part Dog. Part Wolf. All Hero.,7,1685,6521
14,nixon,drama,1995,en,44000000,A look at President Richard M. Nixon—a man carrying the fate of the world on his shoulders while battling the self-destructive demands from within—spanning his troubled boyhood in California to the shocking Watergate scandal that would end his Presidency.,8,13681765,"Triumphant in Victory, Bitter in Defeat. He Changed the World, But Lost a Nation.",6,256,6521
15,cutthroat island,action adventure romance,1995,en,98000000,"Morgan Adams and her slave, William Shaw, are on a quest to recover the three portions of a treasure map. Unfortunately, the final portion is held by her murderous uncle, Dawg. Her crew is skeptical of her leadership abilities, so she must complete her quest before they mutiny against her. This is made yet more difficult by the efforts of the British crown to end her pirate raids.",14,10017322,The Course Has Been Set. There Is No Turning Back. Prepare Your Weapons. Summon Your Courage. Discover the Adventure of a Lifetime!,5,403,6521
16,casino,drama thriller,1995,en,52000000,"In early-1970s Las Vegas, low-level mobster Sam ""Ace"" Rothstein gets tapped by his bosses to head the Tangiers Casino. At first, he's a great success in the job, but over the years, problems with his loose-cannon enforcer Nicky Santoro, his ex-hustler wife Ginger, her con-artist ex Lester Diamond and a handful of corrupt politicians put Sam in ever-increasing danger.",25,116112375,No one stays at the top forever.,8,4397,6521
17,sense and sensibility,drama romance,1995,en,16000000,"Rich Mr. Dashwood dies, leaving his second wife and her daughters poor by the rules of inheritance. Two daughters are the titular opposites.",15,134582776,Lose your heart and come to your senses.,7,1300,6521
18,four rooms,thriller,1995,en,4000000,It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. It seems that this evening's room service is serving up one unbelievable happening after another.,17,4257354,"Twelve outrageous guests. Four scandalous requests. And one lone bellhop, in his first day on the job, who's in for the wildest New year's Eve of his life.",5,2127,6521
19,ace ventura: when nature calls,comedy,1995,en,30000000,"Summoned from an ashram in Tibet, Ace finds himself on a perilous journey into the jungles of Africa to find Shikaka, the missing sacred animal of the friendly Wachati tribe. He must accomplish this before the wedding of the Wachati's Princess to the prince of the warrior Wachootoos. If Ace fails, the result will be a vicious tribal war.",27,212385533,New animals. New adventures. Same hair.,6,3299,6521
20,money train,action,1995,en,68000000,"When a vengeful New York transit cop decides to steal a trainload of subway fares, his foster brother—a fellow cop—tries to protect him.",15,77224232,"Get on, or GET OUT THE WAY!",5,595,6521
21,get shorty,action comedy drama,1995,en,30250000,"Chili Palmer is a Miami mobster who gets sent by his boss, the psychopathic ""Bones"" Barboni, to collect a bad debt from Harry Zimm, a Hollywood producer who specializes in cheesy horror films. When Chili meets Harry's leading lady, the romantic sparks fly. After pitching his own life story as a movie idea, Chili learns that being a mobster and being a Hollywood producer really aren't all that different.",16,115101622,"The mob is tough, but it’s nothing like show business.",6,775,6521
22,copycat,crime drama thriller,1995,en,20000000,An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past.,11,32000000,"One man is copying the most notorious killers in history one at a time. Together, two women must stop him from killing again. Or they’re next.",6,708,6521
23,assassins,thriller,1995,en,50000000,"Assassin Robert Rath arrives at a funeral to kill a prominent mobster, only to witness a rival hired gun complete the job for him -- with grisly results. Horrified by the murder of innocent bystanders, Rath decides to take one last job and then return to civilian life. But finding his way out of the world of contract killing grows ever more dangerous as Rath falls for his female target and becomes a marked man himself.",18,30303072,"In the shadows of life, In the business of death, One man found a reason to live...",6,1194,6521
24,powder,drama sci-fi,1995,en,0,"Harassed by classmates who won't accept his shocking appearance, a shy young man known as ""Powder"" struggles to fit in. But the cruel taunts stop when Powder displays a mysterious power that allows him to do incredible things. This phenomenon changes the lives of all those around him in ways they never could have imagined.",14,0,An extraordinary encounter with another human being.,6,451,6521
25,leaving las vegas,drama romance,1995,en,3600000,"Ben Sanderson, an alcoholic Hollywood screenwriter who lost everything because of his drinking, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera.",21,49800000,I Love You... The Way You Are.,7,1050,6521
26,othello,drama,1995,en,0,The evil Iago pretends to be friend of Othello in order to manipulate him to serve his own end in the film version of this Shakespeare classic.,10,0,"Envy, greed, jealousy and love.",6,115,6521
27,now and then,drama,1995,en,12000000,"Waxing nostalgic about the bittersweet passage from childhood to puberty in this tender coming-of-age tale, four childhood girlfriends -- Teeny, Chrissy, Samantha and Roberta -- recall the magical summer of 1970. During their walk down memory lane, they reconcile experiences with boys, secrets, bullies and more.",12,27400000,In every woman there is the girl she left behind.,6,342,6521
28,persuasion,romance,1995,en,0,"This film adaptation of Jane Austen's last novel follows Anne Elliot, the daughter of a financially troubled aristocratic family, who is persuaded to break her engagement to Frederick Wentworth, a young sea captain of meager means. Years later, money troubles force Anne's father to rent out the family estate to Admiral Croft, and Anne is again thrown into company with Frederick -- who is now rich, successful and perhaps still in love with Anne.",10,0,,7,98,6521
29,"city of lost children, the",adventure sci-fi,1995,fr,18000000,"A scientist in a surrealist society kidnaps children to steal their dreams, hoping that they slow his aging process.",14,1738611,Where happily ever after is just a dream.,7,796,902
30,shanghai triad (yao a yao yao dao waipo qiao),drama,1995,zh,2300000,"Shanghai, China, 1930. When young Shuisheng arrives from the countryside, his uncle Liushu puts him at the service of Bijou, the mistress of Laoda, supreme boss of the Tang Triad, constantly threatened by his enemies, both those he knows and those lurking in the shadows.",8,0,"In 1930, Shanghai violence was not the problem. It was the solution.",6,57,37557
31,dangerous minds,drama,1995,en,23000000,"Former Marine Louanne Johnson lands a gig teaching in a pilot program for bright but underachieving teens at a notorious inner-city high school. After having a terrible first day, she decides she must throw decorum to the wind. When Johnson returns to the classroom, she does so armed with a no-nonsense attitude informed by her military training and a fearless determination to better the lives of her students -- no matter what the cost.",19,179519401,She broke the rules... and changed their lives.,6,866,6521
32,twelve monkeys,drama sci-fi,1995,en,29000000,"In the year 2035, convict James Cole reluctantly volunteers to be sent back in time to discover the origin of a deadly virus that wiped out nearly all of the earth's population and forced the survivors into underground communities. But when Cole is mistakenly sent to 1990 instead of 1996, he's arrested and locked up in a mental hospital. There he meets psychiatrist Dr. Kathryn Railly, and patient Jeffrey Goines, the son of a famous virus expert, who may hold the key to the mysterious rogue group, the Army of the 12 Monkeys, thought to be responsible for unleashing the killer disease.",26,168841459,The future is history.,7,6739,6521
33,wings of courage,adventure romance,1995,fr,0,"In 1920's South America a small group of Americans struggle to prove they can offer a reliable airmail service over the Andes. When one of the young pilots crashes on such a flight he has to try and get back to civilization on foot. Back home, his wife and colleagues start to fear the worst.",1,0,,6,14,6521
34,babe,children's comedy drama,1995,en,30000000,"Babe is a little pig who doesn't quite know his place in the world. With a bunch of odd friends, like Ferdinand the duck who thinks he is a rooster and Fly the dog he calls mum, Babe realises that he has the makings to become the greatest sheep pig of all time, and Farmer Hogget knows it. With the help of the sheep dogs, Babe learns that a pig can be anything that he wants to be.",27,254134910,A little pig goes a long way.,6,2358,6521
35,carrington,drama romance,1995,en,0,"Painter Dora Carrington develops an intimate but extremely complex bond with writer Lytton Strachey. Though Lytton is a homosexual, he is enchanted by the mysterious Dora and they begin a lifelong friendship that has strangely romantic undertones. Eventually, Lytton and Dora decide to live together, despite the fact that the latter has fallen in love with military man Ralph Partridge, whom she plans to marry.",5,0,A Love so Unusual it has to be True,6,53,6521
36,dead man walking,drama,1995,en,11000000,"A justice drama based on a true story about a man on death row who, in his last days, forms a strong relationship with a nun who teaches him forgiveness and gives him spirituality, as she accompanies him to his execution.",16,39363635,,7,1044,6521
37,across the sea of time,documentary,1995,en,0,"A young Russian boy, Thomas Minton, travels to New York as a passenger on a Russian freighter. Close to Ellis Island he gets off and thus starts his journey to America the same way as all immigrants in former times. Thomas is searching for the family of one of his ancestors, who had emigrated decades ago, but once sent a letter home together with a sample of his new profession: 3D-Photography. The boy follows his relative's traces by counter-checking the old 3D-Photographs of New York (using an antique viewer) with the same places and how they look today. This way, the audience gets to see the Big Apple in former times as well as today.",0,16015639,,4,3,6521
38,it takes two,comedy,1995,en,0,"Identical 9-year-olds from very different backgrounds: orphaned Amanda and wealthy Alyssa meet at summer camp and decide to switch places -- and play matchmaker between Alyssa's dad, Roger, and the kind social worker who cares for Amanda.",24,19474589,Two identical strangers. Two different worlds. One perfect match.,6,724,6521
39,clueless,comedy romance,1995,en,12000000,"Shallow, rich and socially successful Cher is at the top of her Beverly Hills high school's pecking scale. Seeing herself as a matchmaker, Cher first coaxes two teachers into dating each other. Emboldened by her success, she decides to give hopelessly klutzy new student Tai a makeover. When Tai becomes more popular than she is, Cher realizes that her disapproving ex-stepbrother was right about how misguided she was -- and falls for him.",38,56631572,Sex. Clothes. Popularity. Is there a problem here?,7,3407,6521
40,"cry, the beloved country",drama,1995,en,0,A South-African preacher goes to search for his wayward son who has committed a crime in the big city.,3,676525,,6,20,6521
41,richard iii,drama war,1995,en,0,"A murderous lust for the British throne sees Richard III descend into madness. Though the setting is transposed to the 1930s, England is torn by civil war, split between the rivaling houses of York and Lancaster. Richard aspires to a fascist dictatorship, but must first remove the obstacles to his ascension—among them his brother, his nephews and his brother's wife. When the Duke of Buckingham deserts him, Richard's plans are compromised.",10,2748518,"I can smile, and murder while I smile",6,135,6521
42,dead presidents,action crime drama,1995,en,10000000,On the streets they call cash dead presidents. And that's just what a Vietnam veteran is after when he returns home from the war only to find himself drawn into a life of crime. With the aid of his fellow vets he plans the ultimate heist -- a daring robbery of an armored car filled with unmarked U.S. currency!,10,24147179,"In this daring heist, the only color that counts is green",6,209,6521
43,restoration,drama,1995,en,19000000,"An aspiring young physician, Robert Merivel found himself in the service of King Charles II and saves the life of someone close to the King. Merivel joins the King's court and lives the high life provided to someone of his position. Merivel is ordered to marry his King's mistress in order to divert the queens suspicions. He is given one order by the king and that is not to fall in love. The situation worsens when Merivel finds himself in love with his new wife. Eventually, the King finds out and relieves Merivel of his position and wealth. His fall from grace leaves Merivel where he first started. And through his travels and reunions with an old friend, he rediscovers his love for true medicine and what it really means to be a physician.",8,0,"An ordinary man, an irresistible offer. In a world of seduction and power, temptation has its price.",6,86,6521
44,mortal kombat,action adventure,1995,en,18000000,"For nine generations an evil sorcerer has been victorious in hand-to-hand battle against his mortal enemies. If he wins a tenth Mortal Kombat tournament, desolation and evil will reign over the multiverse forever. To save Earth, three warriors must overcome seemingly insurmountable odds, their own inner demons, and superhuman foes in this action/adventure movie based on one of the most popular video games of all time.",31,122195920,Nothing In This World Has Prepared You For This.,5,1743,6521
45,to die for,comedy drama,1995,en,20000000,"Suzanne Stone wants to be a world-famous news anchor and she is willing to do anything to get what she wants. What she lacks in intelligence, she makes up for in cold determination and diabolical wiles. As she pursues her goal with relentless focus, she is forced to destroy anything and anyone that may stand in her way, regardless of the ultimate cost or means necessary.",14,21284514,All she wanted was a little attention,6,589,6521
46,how to make an american quilt,drama romance,1995,en,10000000,"Soon-to-be-wed graduate student Finn Dodd develops cold feet when she suspects her fiancé is cheating on her. In order to clear her head, Finn visits her grandmother, Hy, and great aunt, Glady Joe Cleary, in Grasse, Calif. There, Finn learns that Hy and Glady Joe are members of a group of passionate quilters, and over the course of her visit she is regaled with tales of love and life by women who have collected rich experiences and much wisdom.",11,41200020,There's beauty in the patterns of life.,6,140,6521
47,seven (se7en),crime thriller,1995,en,33000000,"Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Sommerset researches each sin in an effort to get inside the killer's mind, while his novice partner, Mills, scoffs at his efforts to unravel the case.",50,327311859,Seven deadly sins. Seven ways to die.,8,16725,6521
48,pocahontas,animation children's musical romance,1995,en,55000000,"Pocahontas, daughter of a Native American tribe chief, falls in love with an English soldier as colonists invade 17th century Virginia.",52,346079773,An American legend comes to life.,7,4764,6521
49,when night is falling,drama romance,1995,en,0,"A prudish woman working on tenure as a literacy professor at a large urban university finds herself attracted to a free-spirited, liberal woman who works at a local carnival.",10,0,,6,52,6521
50,"usual suspects, the",crime thriller,1995,en,6000000,"Held in an L.A. interrogation room, Verbal Kint attempts to convince the feds that a mythic crime lord, Keyser Soze, not only exists, but was also responsible for drawing him and his four partners into a multi-million dollar heist that ended with an explosion in San Pedro harbor – leaving few survivors. Verbal lures his interrogators with an incredible story of the crime lord's almost supernatural prowess.",32,23341568,Five Criminals. One Line Up. No Coincidence.,8,8411,629
51,guardian angel,action drama thriller,1994,en,0,"Detective - turned - bodyguard Cynthia McKay (Cynthia Rothrock) is hired by a psychotic icy seductress, Nina Lindell (Lydie Denier), the same woman who killed Mckay's lover months earlier.  With vendetta in her heart McKay accompanies the flamboyantly playful womanizer through the glamourous world of the super-rich as his protector.  In a unique role reversal, it is the woman protecting the man from another woman, erupting into a deadly triangle of passion, suspense and action.",3,0,She's no angel of mercy.,5,6,6521
52,mighty aphrodite,comedy,1995,en,15000000,"When Lenny and his wife, Amanda, adopt a baby, Lenny realizes that his son is a genius and becomes obsessed with finding the boy's biological mother in hopes that she will be brilliant too. But when he learns that Max's mother is Linda Ash, a kindhearted prostitute and porn star, Lenny is determined to reform her immoral lifestyle. A Greek chorus chimes in to relate the plot to Greek mythology in this quirky comedy.",11,6700000,"Of all human weaknesses, obsession is the most dangerous, and the silliest!",6,505,6521
53,lamerica,drama,1994,it,0,"Fiore, an Italian conman, arrives in post Communist Albania with Gino, his young apprentice, to set up a shoe factory that will never open. The con requires a native Albanian, so they designate Spiro, an impoverished and confused former political prisoner as chairman of the board. When Fiore returns to Italy to get government funds for the project, Spiro unexpectedly disappears and Gino sets out on a journey to find him. The search leads him to discover Spiro's tragic personal history and witness Albanian poverty firsthand.",4,0,,7,44,6521
54,"big green, the",children's comedy,1995,en,0,"No-budget, silent, Super 8 horror-comedy filmed some time in the early '80s about a suburban cannibal who lives in the titular Big Green House on the Corner.",0,0,,0,0,6521
55,georgia,drama,1995,en,0,"Sadie looks up to her older sister Georgia, a successful folk singer who's happily married with children, but can't break out of the bar-band circuit and hit the big time she desperately covets. It's in part due to her attraction to drugs and booze, and also to her own unwise choice in men. Finally, though, Sadie's Achilles heel is a rough, unlovely voice very different than her sister's crowd-pleasing singing.",5,0,The toughest act to follow was their dreams.,5,29,6521
56,kids of the round table,adventure children's fantasy,1995,en,0,"Set in modern times, Alex finds King Arthur's sword Excalibur and must prove himself worthy of it.",1,0,,3,3,6521
57,home for the holidays,drama,1995,en,0,"After losing her job, making out with her soon to be ex-boss, and finding out that her daughter plans to spend Thanksgiving with her boyfriend, Claudia Larson has to face spending the holiday with her family. She wonders if she can survive their crazy antics.",11,17519169,We'll do it every year... until we get it right.,6,134,6521
58,"postino, il (the postman)",drama romance,1994,it,0,Simple Italian postman learns to love poetry while delivering mail to a famous poet; he uses this to woo local beauty Beatrice.,15,0,Dreams do come true.,8,900,6521
59,"confessional, the (le confessionnal)",drama mystery,1995,fr,0,"The year is 1952, in Quebec City. Rachel (16), unmarried and pregnant, works in the church. Filled with shame, she unburdens her guilt to a young priest, under the confidentiality of the confessional. In the present year of 1989, Pierre Lamontagne has returned to Quebec to attend his father's funeral. He meets up with his adopted brother, Marc, who has begun questioning his identity and has embarked on a quest for his roots that would lead them to the Quebec of the 1950s. Past and present converge in a complex web of intrigue where the answer to the mystery lies.",2,0,,6,15,99040
60,"indian in the cupboard, the",adventure children's fantasy,1995,en,45000000,A nine-year-old boy gets a plastic Indian and a cupboard for his birthday and finds himself involved in adventure when the Indian comes to life and befriends him.,38,0,,6,473,11359
61,eye for an eye,drama thriller,1996,en,20000000,"It's fire and brimstone time as grieving mother Karen McCann takes justice into her own hands when a kangaroo court in Los Angeles fails to convict Robert Doob, the monster who raped and murdered her 17-year-old daughter.",12,26877589,What do you do when justice fails?,6,252,6521
62,mr. holland's opus,drama,1995,en,31000000,"In 1965, passionate musician Glenn Holland takes a day job as a high school music teacher, convinced it's just a small obstacle on the road to his true calling: writing a historic opus. As the decades roll by with the composition unwritten but generations of students inspired through his teaching, Holland must redefine his life's purpose.",12,106269971,"Of All the Lives He Changed, the One That Changed the Most Was His Own.",7,307,6521
63,don't be a menace to south central while drinking your juice in the hood,comedy,1996,en,3800000,"When Ashtray (Shawn Wayans) moves to South Central L.A. to live with his father (who appears to be the same age he is) and grandmother (who likes to talk tough and smoke reefer), he falls in with his gang-banging cousin Loc Dog (Marlon Wayans), who along with the requisite pistols and Uzi carries a thermo-nuclear warhead for self-defense. Will Ashtray be able to keep living the straight life?",57,20109115,"Finally, the movie that proves that Justice isn't always Poetic, Jungle Fever isn't always pretty, and Higher Learning can be a waste of time.",6,898,6521
64,two if by sea,comedy romance,1996,en,0,"Frank O'Brien, a petty thief, and his 7-year-long girlfriend Roz want to put an end to their unsteady lifestyle and just do that last job, which involves stealing a valuable painting. Frank takes Roz to an island on the coast of New England, where he wants to sell the painting and also hopes that their sagging relationship will get a positive push back up. Not everything goes as planned.",6,10658278,"A new comedy about love, laughter, and larceny",4,68,6521
65,bio-dome,comedy,1996,en,8500000,"Bud and Doyle are two losers who are doing nothing with their lives. Both of their girlfriends are actively involved in saving the environment, but the two friends couldn't care less about saving the Earth. One day, when a group of scientists begin a mission to live inside a ""Bio-Dome"" for a year without outside contact, Bud and Doyle mistakenly become part of the project themselves.",11,13400000,Bud and Doyle are here to save the world. But who's gonna save the world from Bud and Doyle?,4,275,6521
66,lawnmower man 2: beyond cyberspace,sci-fi thriller,1996,en,15000000,"Jobe is resuscitated by Jonathan Walker. He wants Jobe to create a special computer chip that would connect all the computers in the world into one network, which Walker would control and use. But what Walker doesn't realize is a group of teenage hackers are on to him and out to stop his plan.",8,2409225,"God made him simple. Science made him a god. Now, he wants revenge.",2,106,6521
67,two bits,drama,1995,en,0,"It's a hot summer day in 1933 in South Philly, where 12-year old Gennaro lives with his widowed mom and his ailing grandpa, who sits outside holding tight to his last quarter, which he's promised to Gennaro and which Gennaro would like to have to buy a ticket to the plush new movie theater. But grandpa's not ready to pass on the quarter or pass on to his final reward: he has some unfinished business with a woman from his past, and he enlists Gennaro to act as his emissary.",5,0,You're never too old to believe in a dream. Or too young to make one come true!,6,43,6521
68,french twist (gazon maudit),comedy romance,1995,fr,0,"After learning of her husband's infidelities, a housewife invites an itinerant lesbian to move in with them. None of their lives will ever be the same again.",8,0,A scorned wife. An outrageous affair. The perfect revenge.,6,244,4482
69,friday,comedy,1995,en,3500000,"Craig and Smokey are two guys in Los Angeles hanging out on their porch on a Friday afternoon, smoking and drinking, looking for something to do.",34,28215918,A lot can go down between thursday and saturday...,7,1335,6521
70,from dusk till dawn,action comedy crime horror thriller,1996,en,19000000,"Seth Gecko and his younger brother Richard are on the run after a bloody bank robbery in Texas. They escape across the border into Mexico and will be home-free the next morning, when they pay off the local kingpin. They just have to survive 'from dusk till dawn' at the rendezvous point, which turns out to be a Hell of a strip joint.",33,25836616,One night is all that stands between them and freedom. But it's going to be a hell of a night.,7,4736,6521
71,fair game,action,1995,en,50000000,"Max Kirkpatrick is a cop who protects Kate McQuean, a civil law attorney, from a renegade KGB team out to terminate her",16,11534477,He's a cop on the edge. She's a woman with a dangerous secret. And now they're both...,4,224,6521
72,kicking and screaming,comedy drama,1995,en,0,"After college graduation, Grover's girlfriend Jane tells him she's moving to Prague to study writing. Grover declines to accompany her, deciding instead to move in with several friends, all of whom can't quite work up the inertia to escape their university's pull. Nobody wants to make any big decisions that would radically alter his life, yet none of them wants to end up like Chet, the professional student who tends bar and is in his tenth year of university studies.",8,718490,Anxiety loves company,6,137,6521
73,"misérables, les",drama musical,1995,fr,0,"In France during World War II, a poor and illiterate man, Henri Fortin (Jean-Paul Belmondo), is introduced to Victor Hugo's classic novel Les Misérables and begins to see parallels between the book and his own life.",5,0,"In a time of chaos, in a world of change, he was moved by a book he could not read to become a hero he never imagined.",7,50,6521
74,bed of roses,drama romance,1996,en,0,"The seeds of love are planted when Lisa, a high-powered investment banker, receives flowers from a secret admirer. But when his fairy-tale fantasies clash with her workaholic ways, they soon find out that sometimes, it's harder than it seems for love to conquer all.",8,19030691,He gave her flowers. She gave him a chance.,6,91,6521
75,big bully,comedy drama,1996,en,15000000,"A writer returns to his hometown where he faces the childhood nemesis whose life he ultimately ruined, only the bully wants to relive their painful past by torturing him once again.",9,2042530,A comedy for the kid in all of us.,4,55,6521
76,screamers,sci-fi thriller,1995,en,20000000,"SIRIUS 6B, Year 2078. On a distant mining planet ravaged by a decade of war, scientists have created the perfect weapon: a blade-wielding, self-replicating race of killing devices known as Screamers designed for one purpose only -- to hunt down and destroy all enemy life forms.",8,5781885,The last scream you hear will be your own.,6,391,6521
77,nico icon,documentary,1995,en,0,"A look into the many lives of Christa Päffgen, otherwise known as Nico; from cutie German mädchen to the first of the supermodels, to glamorous diva of the Velvet Underground, to cult item, junkie and hag. Many faces for the same woman, whom, you realize, just couldn't bring herself to care enough to live.",1,0,,7,7,6521
78,"crossing guard, the",drama,1995,en,0,"After his daughter died in a hit and run, Freddy Gale has waited six years for John Booth, the man responsible, to be released from prison. On the day of release, Gale visits Booth and announces that he will kill him in one week. Booth uses his time to try and make peace with himself and his entourage, and even finds romance. Gale, whose life is spiraling down because of his obsession towards Booth, will bring himself on the very edge of sanity. At he end of the week, both men will find themselves on a collision course with each other.",8,0,"...some lives cross, others collide.",6,195,27526
79,"juror, the",drama thriller,1996,en,44000000,"With his gangster boss on trial for murder, a mob thug known as ""the Teacher"" tells Annie Laird she must talk her fellow jurors into a not-guilty verdict, implying that he'll kill her son Oliver if she fails. She manages to do this, but, when it becomes clear that the mobsters might want to silence her for good, she sends Oliver abroad and tries to gather evidence of the plot against her, setting up a final showdown.",8,22754725,There is no defense.,5,280,6521
80,"white balloon, the (badkonake sefid )",drama,1995,fa,0,Several people try to take advantage of a little girl's innocence to hustle money her mom gave to her to buy a goldfish with.,4,0,,7,59,46785
81,things to do in denver when you're dead,crime drama romance,1995,en,8000000,Five different criminals face imminent death after botching a job quite badly.,8,529766,Protect. Love. Honor. Avenge.,6,288,6521
82,antonia's line (antonia),drama,1995,nl,900000,"After World War II, Antonia and her daughter, Danielle, go back to their Dutch hometown, where Antonia's late mother has bestowed a small farm upon her. There, Antonia settles down and joins a tightly-knit but unusual community. Those around her include quirky friend Crooked Finger, would-be suitor Bas and, eventually for Antonia, a granddaughter and great-granddaughter who help create a strong family of empowered women.",7,0,A motion picture that celebrates everything you love about life.,6,83,880
83,once upon a time... when we were colored,drama,1995,en,0,"This film relates the story of a tightly connected Afro-American community informally called Colored Town where the inhabitants live and depend on each other in a world where racist oppression is everywhere, as told by a boy called Cliff who spent his childhood there. Despite this, we see the life of the community in all its joys and sorrows, of those that live there while others decide to leave for a better life north. For those remaining, things come to a serious situation when one prominent businessman is being muscled out by a white competitor using racist intimidation. In response, the community must make the decision of whether to submit meekly like they always have, or finally fight for their rights.",1,0,,5,3,6521
84,last summer in the hamptons,comedy drama,1995,en,0,"Helena Mora, the head of an eccentric theatrical family, has decided to sell her large estate in the Hamptons because of her recent money troubles. Before she completes the sale, she wants to have one last gathering of family and friends, with dramatic performances. Bringing everyone together, though, creates rivalries and tension, especially for Oona, a temperamental but successful movie actress who seeks the approval of her creative peers.",1,0,,9,1,6521
85,angels and insects,drama romance,1995,en,0,"In Victorian England, wealthy patriarch Sir Harald Alabaster invites an impoverished biologist, William Adamson, into his home. There, William tries to continue his work, but is distracted by Alabaster's seductive daughter, Eugenia. William and Eugenia begin a torrid romance, but as the couple become closer, the young scientist begins to realize that dark, disturbing things are happening behind the closed doors of the Alabaster manor.",6,0,An elegant seduction. An erotic deception. A stunning revelation.,6,39,6521
86,white squall,adventure drama,1996,en,38000000,"In 1960, a hardy group of prep school students boards an old-fashioned sailing ship. With Capt. Christopher Sheldon at the helm, the oceangoing voyage is intended to teach the boys fortitude and discipline. But the youthful crew are about to get some unexpected instruction in survival when they get caught in the clutches of a white squall storm.",12,10300000,The strongest will in nature is the will to survive.,6,258,6521
