movie_id,title,genres,year,tconst,averageRating,numVotes,isAdult,runtimeMinutes,original_language,budget,overview,popularity,revenue,tagline,tmdb_vote_avg,tmdb_vote_count
29,The City of Lost Children,adventure sci-fi,1995,tt0112682,7.5,67707.0,0.0,112,fr,18000000,"A scientist in a surrealist society kidnaps children to steal their dreams, hoping that they slow his aging process.",20,1738611,Where happily ever after is just a dream.,7,793
30,Shanghai Triad (Yao a yao yao dao waipo qiao),drama,1995,,-1.0,-1.0,0.0,-1,,-1,,-1,-1,,-1,-1
31,Dangerous Minds,drama,1995,tt0112792,6.5,51879.0,0.0,99,en,23000000,"Former Marine Louanne Johnson lands a gig teaching in a pilot program for bright but underachieving teens at a notorious inner-city high school. After having a terrible first day, she decides she must throw decorum to the wind. When Johnson returns to the classroom, she does so armed with a no-nonsense attitude informed by her military training and a fearless determination to better the lives of her students -- no matter what the cost.",23,179519401,She broke the rules... and changed their lives.,6,864
32,Twelve Monkeys,drama sci-fi,1995,,-1.0,-1.0,0.0,-1,en,29000000,"In the year 2035, convict James Cole reluctantly volunteers to be sent back in time to discover the origin of a deadly virus that wiped out nearly all of the earth's population and forced the survivors into underground communities. But when Cole is mistakenly sent to 1990 instead of 1996, he's arrested and locked up in a mental hospital. There he meets psychiatrist Dr. Kathryn Railly, and patient Jeffrey Goines, the son of a famous virus expert, who may hold the key to the mysterious rogue group, the Army of the 12 Monkeys, thought to be responsible for unleashing the killer disease.",28,168841459,The future is history.,7,6733
33,Wings of Courage,adventure romance,1995,tt0114952,6.4,681.0,0.0,50,fr,0,"In 1920's South America a small group of Americans struggle to prove they can offer a reliable airmail service over the Andes. When one of the young pilots crashes on such a flight he has to try and get back to civilization on foot. Back home, his wife and colleagues start to fear the worst.",2,0,,6,14
34,Babe,children's comedy drama,1995,tt0112431,6.9,123193.0,0.0,91,en,30000000,"Babe is a little pig who doesn't quite know his place in the world. With a bunch of odd friends, like Ferdinand the duck who thinks he is a rooster and Fly the dog he calls mum, Babe realises that he has the makings to become the greatest sheep pig of all time, and Farmer Hogget knows it. With the help of the sheep dogs, Babe learns that a pig can be anything that he wants to be.",30,254134910,A little pig goes a long way.,6,2357
35,Carrington,drama romance,1995,tt0112637,6.8,5443.0,0.0,121,en,0,"Painter Dora Carrington develops an intimate but extremely complex bond with writer Lytton Strachey. Though Lytton is a homosexual, he is enchanted by the mysterious Dora and they begin a lifelong friendship that has strangely romantic undertones. Eventually, Lytton and Dora decide to live together, despite the fact that the latter has fallen in love with military man Ralph Partridge, whom she plans to marry.",8,0,A Love so Unusual it has to be True,6,53
36,Dead Man Walking,drama,1995,tt0112818,7.5,93470.0,0.0,122,en,11000000,"A justice drama based on a true story about a man on death row who, in his last days, forms a strong relationship with a nun who teaches him forgiveness and gives him spirituality, as she accompanies him to his execution.",19,39363635,,7,1043
37,Across the Sea of Time,documentary,1995,tt0112286,6.4,297.0,0.0,51,en,0,"A young Russian boy, Thomas Minton, travels to New York as a passenger on a Russian freighter. Close to Ellis Island he gets off and thus starts his journey to America the same way as all immigrants in former times. Thomas is searching for the family of one of his ancestors, who had emigrated decades ago, but once sent a letter home together with a sample of his new profession: 3D-Photography. The boy follows his relative's traces by counter-checking the old 3D-Photographs of New York (using an antique viewer) with the same places and how they look today. This way, the audience gets to see the Big Apple in former times as well as today.",1,16015639,,4,3
38,It Takes Two,comedy,1995,tt18183072,-1.0,-1.0,0.0,-1,en,0,"Identical 9-year-olds from very different backgrounds: orphaned Amanda and wealthy Alyssa meet at summer camp and decide to switch places -- and play matchmaker between Alyssa's dad, Roger, and the kind social worker who cares for Amanda.",22,19474589,Two identical strangers. Two different worlds. One perfect match.,6,724
39,Clueless,comedy romance,1995,tt9203648,-1.0,-1.0,0.0,-1,en,12000000,"Shallow, rich and socially successful Cher is at the top of her Beverly Hills high school's pecking scale. Seeing herself as a matchmaker, Cher first coaxes two teachers into dating each other. Emboldened by her success, she decides to give hopelessly klutzy new student Tai a makeover. When Tai becomes more popular than she is, Cher realizes that her disapproving ex-stepbrother was right about how misguided she was -- and falls for him.",38,56631572,Sex. Clothes. Popularity. Is there a problem here?,7,3404
40,"Cry, the Beloved Country",drama,1995,tt0112749,6.8,1836.0,0.0,106,en,0,A South-African preacher goes to search for his wayward son who has committed a crime in the big city.,3,676525,,6,20
41,Richard III,drama war,1995,tt2971406,-1.0,-1.0,0.0,-1,en,0,"A murderous lust for the British throne sees Richard III descend into madness. Though the setting is transposed to the 1930s, England is torn by civil war, split between the rivaling houses of York and Lancaster. Richard aspires to a fascist dictatorship, but must first remove the obstacles to his ascension—among them his brother, his nephews and his brother's wife. When the Duke of Buckingham deserts him, Richard's plans are compromised.",8,2748518,"I can smile, and murder while I smile",6,134
42,Dead Presidents,action crime drama,1995,tt0112819,6.9,21858.0,0.0,119,en,10000000,On the streets they call cash dead presidents. And that's just what a Vietnam veteran is after when he returns home from the war only to find himself drawn into a life of crime. With the aid of his fellow vets he plans the ultimate heist -- a daring robbery of an armored car filled with unmarked U.S. currency!,12,24147179,"In this daring heist, the only color that counts is green",6,208
43,Restoration,drama,1995,tt3262148,-1.0,-1.0,0.0,-1,en,19000000,"An aspiring young physician, Robert Merivel found himself in the service of King Charles II and saves the life of someone close to the King. Merivel joins the King's court and lives the high life provided to someone of his position. Merivel is ordered to marry his King's mistress in order to divert the queens suspicions. He is given one order by the king and that is not to fall in love. The situation worsens when Merivel finds himself in love with his new wife. Eventually, the King finds out and relieves Merivel of his position and wealth. His fall from grace leaves Merivel where he first started. And through his travels and reunions with an old friend, he rediscovers his love for true medicine and what it really means to be a physician.",10,0,"An ordinary man, an irresistible offer. In a world of seduction and power, temptation has its price.",6,85
44,Mortal Kombat,action adventure,1995,tt0113855,5.8,116432.0,0.0,101,en,20000000,"Washed-up MMA fighter Cole Young, unaware of his heritage, and hunted by Emperor Shang Tsung's best warrior, Sub-Zero, seeks out and trains with Earth's greatest champions as he prepares to stand against the enemies of Outworld in a high stakes battle for the universe.",599,83601013,Get over here.,7,4457
45,To Die For,comedy drama,1995,tt0114681,6.8,47274.0,0.0,106,en,20000000,"Suzanne Stone wants to be a world-famous news anchor and she is willing to do anything to get what she wants. What she lacks in intelligence, she makes up for in cold determination and diabolical wiles. As she pursues her goal with relentless focus, she is forced to destroy anything and anyone that may stand in her way, regardless of the ultimate cost or means necessary.",17,21284514,All she wanted was a little attention,6,589
46,How to Make an American Quilt,drama romance,1995,tt0113347,6.3,11539.0,0.0,117,en,10000000,"Soon-to-be-wed graduate student Finn Dodd develops cold feet when she suspects her fiancé is cheating on her. In order to clear her head, Finn visits her grandmother, Hy, and great aunt, Glady Joe Cleary, in Grasse, Calif. There, Finn learns that Hy and Glady Joe are members of a group of passionate quilters, and over the course of her visit she is regaled with tales of love and life by women who have collected rich experiences and much wisdom.",17,41200020,There's beauty in the patterns of life.,6,139
47,Seven (Se7en),crime thriller,1995,,-1.0,-1.0,0.0,-1,en,33000000,"Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Sommerset researches each sin in an effort to get inside the killer's mind, while his novice partner, Mills, scoffs at his efforts to unravel the case.",58,327311859,Seven deadly sins. Seven ways to die.,8,16704
48,Pocahontas,animation children's musical romance,1995,tt9047432,2.2,37.0,0.0,53,en,55000000,"Pocahontas, daughter of a Native American tribe chief, falls in love with an English soldier as colonists invade 17th century Virginia.",52,346079773,An American legend comes to life.,7,4762
49,When Night Is Falling,drama romance,1995,tt0114916,6.6,7008.0,0.0,94,en,0,"A prudish woman working on tenure as a literacy professor at a large urban university finds herself attracted to a free-spirited, liberal woman who works at a local carnival.",9,0,,6,52
50,The Usual Suspects,crime thriller,1995,tt0114814,8.5,1052570.0,0.0,106,en,6000000,"Held in an L.A. interrogation room, Verbal Kint attempts to convince the feds that a mythic crime lord, Keyser Soze, not only exists, but was also responsible for drawing him and his four partners into a multi-million dollar heist that ended with an explosion in San Pedro harbor – leaving few survivors. Verbal lures his interrogators with an incredible story of the crime lord's almost supernatural prowess.",30,23341568,Five Criminals. One Line Up. No Coincidence.,8,8403
51,Guardian Angel,action drama thriller,1994,tt0173642,6.9,210.0,0.0,90,en,3500000,"Copenhagen, Denmark, 1951. Criminal investigator Anders Olsen follows the case of a bank robber who eyewitnesses say appears to have been acting under some kind of trance.",7,0,Who controls your mind?,5,28
52,Mighty Aphrodite,comedy,1995,tt0113819,7.0,39949.0,0.0,95,en,15000000,"When Lenny and his wife, Amanda, adopt a baby, Lenny realizes that his son is a genius and becomes obsessed with finding the boy's biological mother in hopes that she will be brilliant too. But when he learns that Max's mother is Linda Ash, a kindhearted prostitute and porn star, Lenny is determined to reform her immoral lifestyle. A Greek chorus chimes in to relate the plot to Greek mythology in this quirky comedy.",12,6700000,"Of all human weaknesses, obsession is the most dangerous, and the silliest!",6,503
53,Lamerica,drama,1994,tt0110299,7.5,2233.0,0.0,116,it,0,"Fiore, an Italian conman, arrives in post Communist Albania with Gino, his young apprentice, to set up a shoe factory that will never open. The con requires a native Albanian, so they designate Spiro, an impoverished and confused former political prisoner as chairman of the board. When Fiore returns to Italy to get government funds for the project, Spiro unexpectedly disappears and Gino sets out on a journey to find him. The search leads him to discover Spiro's tragic personal history and witness Albanian poverty firsthand.",4,0,,7,44
54,The Big Green,children's comedy,1995,tt0112499,5.5,10029.0,0.0,100,en,0,"In a depressed Texas town, British foreign exchange teacher Anna attempts to inject some life into her hopeless kids by introducing them to soccer. They're terrible at first, but Anna and her football-hero assistant whip them into shape. As they work overtime, the pair help kids build their self-esteem and also get involved in solving family squabbles.",12,0,The biggest kick of the year!,5,147
55,Georgia,drama,1995,tt0113158,6.5,3050.0,0.0,115,en,20000000,"Georgia Rule follows a rebellious, uncontrollable teenager who is hauled off by her dysfunctional mother to spend the summer with her grandmother. Her journey will lead all three women to revelations of buried family secrets and an understanding that - regardless what happens - the ties that bind can never be broken.",14,25000167,"Mother. Daughter. Grandmother. In this family, attitude doesn't skip a generation.",6,364
56,Kids of the Round Table,adventure children's fantasy,1995,tt0113541,5.1,339.0,0.0,89,en,0,"Set in modern times, Alex finds King Arthur's sword Excalibur and must prove himself worthy of it.",1,0,,3,3
57,Home for the Holidays,drama,1995,tt0113321,6.6,13129.0,0.0,103,en,0,"After losing her job, making out with her soon to be ex-boss, and finding out that her daughter plans to spend Thanksgiving with her boyfriend, Claudia Larson has to face spending the holiday with her family. She wonders if she can survive their crazy antics.",13,17519169,We'll do it every year... until we get it right.,6,134
58,"Postino, Il (The Postman)",drama romance,1994,,-1.0,-1.0,0.0,-1,it,0,Simple Italian postman learns to love poetry while delivering mail to a famous poet; he uses this to woo local beauty Beatrice.,15,0,Dreams do come true.,8,899
59,"Confessional, The (Le Confessionnal)",drama mystery,1995,,-1.0,-1.0,0.0,-1,,-1,,-1,-1,,-1,-1
60,The Indian in the Cupboard,adventure children's fantasy,1995,tt0113419,6.0,28394.0,0.0,96,en,45000000,A nine-year-old boy gets a plastic Indian and a cupboard for his birthday and finds himself involved in adventure when the Indian comes to life and befriends him.,50,0,,6,473
61,Eye for an Eye,drama thriller,1996,tt8263550,-1.0,-1.0,0.0,-1,en,20000000,"It's fire and brimstone time as grieving mother Karen McCann takes justice into her own hands when a kangaroo court in Los Angeles fails to convict Robert Doob, the monster who raped and murdered her 17-year-old daughter.",14,26877589,What do you do when justice fails?,6,252
62,Mr. Holland's Opus,drama,1995,tt0113862,7.3,38440.0,0.0,143,en,31000000,"In 1965, passionate musician Glenn Holland takes a day job as a high school music teacher, convinced it's just a small obstacle on the road to his true calling: writing a historic opus. As the decades roll by with the composition unwritten but generations of students inspired through his teaching, Holland must redefine his life's purpose.",11,106269971,"Of All the Lives He Changed, the One That Changed the Most Was His Own.",7,307
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,comedy,1996,tt0116126,6.6,54151.0,0.0,89,en,3800000,"When Ashtray (Shawn Wayans) moves to South Central L.A. to live with his father (who appears to be the same age he is) and grandmother (who likes to talk tough and smoke reefer), he falls in with his gang-banging cousin Loc Dog (Marlon Wayans), who along with the requisite pistols and Uzi carries a thermo-nuclear warhead for self-defense. Will Ashtray be able to keep living the straight life?",83,20109115,"Finally, the movie that proves that Justice isn't always Poetic, Jungle Fever isn't always pretty, and Higher Learning can be a waste of time.",6,896
64,Two if by Sea,comedy romance,1996,,-1.0,-1.0,0.0,-1,en,0,"Frank O'Brien, a petty thief, and his 7-year-long girlfriend Roz want to put an end to their unsteady lifestyle and just do that last job, which involves stealing a valuable painting. Frank takes Roz to an island on the coast of New England, where he wants to sell the painting and also hopes that their sagging relationship will get a positive push back up. Not everything goes as planned.",5,10658278,"A new comedy about love, laughter, and larceny",4,68
65,Bio-Dome,comedy,1996,tt0115683,4.3,27439.0,0.0,88,en,8500000,"Bud and Doyle are two losers who are doing nothing with their lives. Both of their girlfriends are actively involved in saving the environment, but the two friends couldn't care less about saving the Earth. One day, when a group of scientists begin a mission to live inside a ""Bio-Dome"" for a year without outside contact, Bud and Doyle mistakenly become part of the project themselves.",15,13400000,Bud and Doyle are here to save the world. But who's gonna save the world from Bud and Doyle?,4,274
66,Lawnmower Man 2: Beyond Cyberspace,sci-fi thriller,1996,tt0116839,2.5,9549.0,0.0,93,en,15000000,"Jobe is resuscitated by Jonathan Walker. He wants Jobe to create a special computer chip that would connect all the computers in the world into one network, which Walker would control and use. But what Walker doesn't realize is a group of teenage hackers are on to him and out to stop his plan.",12,2409225,"God made him simple. Science made him a god. Now, he wants revenge.",2,106
67,Two Bits,drama,1995,tt0114753,6.2,3435.0,0.0,85,en,0,"It's a hot summer day in 1933 in South Philly, where 12-year old Gennaro lives with his widowed mom and his ailing grandpa, who sits outside holding tight to his last quarter, which he's promised to Gennaro and which Gennaro would like to have to buy a ticket to the plush new movie theater. But grandpa's not ready to pass on the quarter or pass on to his final reward: he has some unfinished business with a woman from his past, and he enlists Gennaro to act as his emissary.",6,0,You're never too old to believe in a dream. Or too young to make one come true!,6,43
68,French Twist (Gazon maudit),comedy romance,1995,,-1.0,-1.0,0.0,-1,,-1,,-1,-1,,-1,-1
69,Friday,comedy,1995,tt1914285,6.4,11.0,0.0,90,en,3500000,"Craig and Smokey are two guys in Los Angeles hanging out on their porch on a Friday afternoon, smoking and drinking, looking for something to do.",48,28215918,A lot can go down between thursday and saturday...,7,1335
70,From Dusk Till Dawn,action comedy crime horror thriller,1996,tt0116367,7.2,305178.0,0.0,108,en,19000000,"Seth Gecko and his younger brother Richard are on the run after a bloody bank robbery in Texas. They escape across the border into Mexico and will be home-free the next morning, when they pay off the local kingpin. They just have to survive 'from dusk till dawn' at the rendezvous point, which turns out to be a Hell of a strip joint.",38,25836616,One night is all that stands between them and freedom. But it's going to be a hell of a night.,7,4735
71,Fair Game,action,1995,tt0113010,4.3,12855.0,0.0,91,en,22000000,"Wife and mother Valerie Plame has a double life as a CIA operative, hiding her vocation from family and friends. Her husband, Joseph Wilson, writes a controversial article in The New York Times, refuting stories about the sale of enriched uranium to Iraq, Then Valerie's secret work and identity is leaked to the press. With her cover blown and other people endangered, Valerie's career and personal life begin to unravel.",19,25806953,Wife. Mother. Spy.,6,604
72,Kicking and Screaming,comedy drama,1995,tt0113537,6.7,13336.0,0.0,96,en,45000000,"Phil Weston has been unathletic his entire life. In college he failed at every sport that he tried out for. It looks like his 10-year old son, Sam, is following in his footsteps. But when Phil's hyper-competitive dad benches Sam, Phil decides to transfer his son to a new team which needs a coach. Phil steps in to be the temporary coach and immediately begins to butt heads with this dad over this new competition in their lives.",16,56070433,One man could lead this team to glory... That man was busy.,5,496
73,"Misérables, Les",drama musical,1995,,-1.0,-1.0,0.0,-1,en,61000000,"An adaptation of the successful stage musical based on Victor Hugo's classic novel set in 19th-century France, in which a paroled prisoner named Jean Valjean seeks redemption.",25,441809770,Fight. Dream. Hope. Love.,7,4542
74,Bed of Roses,drama romance,1996,tt0170281,3.4,8.0,0.0,99,en,0,"The seeds of love are planted when Lisa, a high-powered investment banker, receives flowers from a secret admirer. But when his fairy-tale fantasies clash with her workaholic ways, they soon find out that sometimes, it's harder than it seems for love to conquer all.",9,19030691,He gave her flowers. She gave him a chance.,6,91
75,Big Bully,comedy drama,1996,tt0115676,4.7,5067.0,0.0,90,en,15000000,"A writer returns to his hometown where he faces the childhood nemesis whose life he ultimately ruined, only the bully wants to relive their painful past by torturing him once again.",8,2042530,A comedy for the kid in all of us.,4,55
76,Screamers,sci-fi thriller,1995,tt7472268,-1.0,-1.0,0.0,66,en,20000000,"SIRIUS 6B, Year 2078. On a distant mining planet ravaged by a decade of war, scientists have created the perfect weapon: a blade-wielding, self-replicating race of killing devices known as Screamers designed for one purpose only -- to hunt down and destroy all enemy life forms.",13,5781885,The last scream you hear will be your own.,6,391
77,Nico Icon,documentary,1995,tt0113973,7.2,714.0,0.0,70,en,0,"A look into the many lives of Christa Päffgen, otherwise known as Nico; from cutie German mädchen to the first of the supermodels, to glamorous diva of the Velvet Underground, to cult item, junkie and hag. Many faces for the same woman, whom, you realize, just couldn't bring herself to care enough to live.",2,0,,7,7
78,The Crossing Guard,drama,1995,tt0112744,6.3,13439.0,0.0,111,en,0,"After his daughter died in a hit and run, Freddy Gale has waited six years for John Booth, the man responsible, to be released from prison. On the day of release, Gale visits Booth and announces that he will kill him in one week. Booth uses his time to try and make peace with himself and his entourage, and even finds romance. Gale, whose life is spiraling down because of his obsession towards Booth, will bring himself on the very edge of sanity. At he end of the week, both men will find themselves on a collision course with each other.",8,0,"...some lives cross, others collide.",6,195
