,movie_id,title,genres,year
128,130,Angela,drama,1995
129,131,Frankie Starlight,drama romance,1995
130,132,Jade,thriller,1995
131,133,Nueba Yol,comedy drama,1995
132,134,Sonic Outlaws,documentary,1995
133,135,Down Periscope,comedy,1996
134,136,From the Journals of Jean Seberg,documentary,1995
135,137,Man of the Year,documentary,1995
136,138,"Neon Bible, The",drama,1995
137,139,Target,action drama,1995
138,140,Up Close and Personal,drama romance,1996
139,141,"Birdcage, The",comedy,1996
140,142,Shadows (Cienie),drama,1988
141,143,Gospa,drama,1995
142,144,"Brothers McMullen, The",comedy,1995
143,145,Bad Boys,action,1995
144,146,"Amazing Panda Adventure, The",adventure children's,1995
145,147,"Basketball Diaries, The",drama,1995
146,148,"Awfully Big Adventure, An",drama,1995
147,149,Amateur,crime drama thriller,1994
148,150,Apollo 13,drama,1995
149,151,Rob Roy,drama romance war,1995
150,152,"Addiction, The",horror,1995
151,153,Batman Forever,action adventure comedy crime,1995
152,154,Belle de jour,drama,1967
153,155,Beyond Rangoon,drama war,1995
154,156,Blue in the Face,comedy,1995
155,157,Canadian Bacon,comedy war,1994
156,158,Casper,adventure children's,1995
157,159,Clockers,drama,1995
158,160,Congo,action adventure mystery sci-fi,1995
159,161,Crimson Tide,drama thriller war,1995
160,162,Crumb,documentary,1994
161,163,Desperado,action romance thriller,1995
162,164,Devil in a Blue Dress,crime film-noir mystery thriller,1995
163,165,Die Hard: With a Vengeance,action thriller,1995
164,166,"Doom Generation, The",comedy drama,1995
165,167,Feast of July,drama,1995
166,168,First Knight,action adventure drama romance,1995
167,169,Free Willy 2: The Adventure Home,adventure children's drama,1995
168,170,Hackers,action crime thriller,1995
169,171,Jeffrey,comedy,1995
170,172,Johnny Mnemonic,action sci-fi thriller,1995
171,173,Judge Dredd,action adventure sci-fi,1995
172,174,Jury Duty,comedy,1995
173,175,Kids,drama,1995
174,176,Living in Oblivion,comedy,1995
175,177,Lord of Illusions,horror,1995
176,178,Love & Human Remains,comedy,1993
177,179,Mad Love,drama romance,1995
178,180,Mallrats,comedy,1995
179,181,Mighty Morphin Power Rangers: The Movie,action children's,1995
180,182,Moonlight and Valentino,drama romance,1995
181,183,Mute Witness,thriller,1994
182,184,Nadja,drama,1994
183,185,"Net, The",sci-fi thriller,1995
184,186,Nine Months,comedy,1995
185,187,Party Girl,comedy,1995
186,188,"Prophecy, The",horror,1995
187,189,Reckless,comedy,1995
188,190,Safe,thriller,1995
189,191,"Scarlet Letter, The",drama,1995
190,192,"Show, The",documentary,1995
191,193,Showgirls,drama,1995
192,194,Smoke,drama,1995
193,195,Something to Talk About,comedy drama romance,1995
194,196,Species,horror sci-fi,1995
195,197,"Stars Fell on Henrietta, The",drama,1995
196,198,Strange Days,action crime sci-fi,1995
197,199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les)",drama musical,1964
198,200,"Tie That Binds, The",thriller,1995
199,201,Three Wishes,drama,1995
200,202,Total Eclipse,drama romance,1995
201,203,"To Wong Foo, Thanks for Everything! Julie Newmar",comedy,1995
202,204,Under Siege 2: Dark Territory,action,1995
203,205,Unstrung Heroes,comedy drama,1995
204,206,Unzipped,documentary,1995
205,207,"Walk in the Clouds, A",drama romance,1995
206,208,Waterworld,action adventure,1995
207,209,White Man's Burden,drama,1995
208,210,Wild Bill,western,1995
209,211,"Browning Version, The",drama,1994
210,212,Bushwhacked,comedy,1995
211,213,Burnt By the Sun (Utomlyonnye solntsem),drama,1994
212,214,Before the Rain (Pred dozhdot),drama,1994
213,215,Before Sunrise,drama romance,1995
214,216,Billy Madison,comedy,1995
215,217,"Babysitter, The",drama thriller,1995
216,218,Boys on the Side,comedy drama,1995
217,219,"Cure, The",drama,1995
218,220,Castle Freak,horror,1995
219,222,Circle of Friends,drama romance,1995
220,223,Clerks,comedy,1994
221,224,Don Juan DeMarco,comedy drama romance,1995
222,225,Disclosure,drama thriller,1994
223,226,Dream Man,thriller,1995
224,227,Drop Zone,action,1994
225,228,Destiny Turns on the Radio,comedy,1995
226,229,Death and the Maiden,drama thriller,1994
227,230,Dolores Claiborne,drama thriller,1994
228,231,Dumb & Dumber,comedy,1994
229,232,Eat Drink Man Woman,comedy drama,1994
230,233,Exotica,drama,1994
231,234,Exit to Eden,comedy,1994
232,235,Ed Wood,comedy drama,1994
233,236,French Kiss,comedy romance,1995
234,237,Forget Paris,comedy romance,1995
235,238,Far From Home: The Adventures of Yellow Dog,adventure children's,1995
236,239,"Goofy Movie, A",animation children's comedy romance,1995
237,240,Hideaway,thriller,1995
238,241,Fluke,children's drama,1995
239,242,Farinelli: il castrato,drama musical,1994
240,243,Gordy,comedy,1995
241,244,Gumby: The Movie,animation children's,1995
242,245,"Glass Shield, The",crime drama,1994
243,246,Hoop Dreams,documentary,1994
244,247,Heavenly Creatures,drama fantasy romance thriller,1994
245,248,Houseguest,comedy,1994
246,249,Immortal Beloved,drama romance,1994
247,250,Heavyweights,children's comedy,1994
248,251,"Hunted, The",action,1995
249,252,I.Q.,comedy romance,1994
250,253,Interview with the Vampire,drama horror,1994
251,254,Jefferson in Paris,drama,1995
252,255,"Jerky Boys, The",comedy,1994
253,256,Junior,comedy sci-fi,1994
254,257,Just Cause,mystery thriller,1995
255,258,"Kid in King Arthur's Court, A",adventure children's comedy fantasy romance,1995
256,259,Kiss of Death,crime drama thriller,1995
257,260,Star Wars: Episode IV - A New Hope,action adventure fantasy sci-fi,1977
258,261,Little Women,drama,1994
259,262,"Little Princess, A",children's drama,1995
260,263,Ladybird Ladybird,drama,1994
261,264,"Enfer, L'",drama,1994
262,265,Like Water for Chocolate (Como agua para chocolate),drama romance,1992
263,266,Legends of the Fall,drama romance war western,1994
264,267,Major Payne,comedy,1994
265,268,Little Odessa,drama,1994
266,269,My Crazy Life (Mi vida loca),drama,1993
267,270,Love Affair,drama romance,1994
268,271,Losing Isaiah,drama,1995
269,272,"Madness of King George, The",drama,1994
270,273,Mary Shelley's Frankenstein,drama horror,1994
271,274,Man of the House,comedy,1995
272,275,Mixed Nuts,comedy,1994
273,276,Milk Money,comedy romance,1994
274,277,Miracle on 34th Street,drama,1994
275,278,Miami Rhapsody,comedy,1995
276,279,My Family,drama,1995
277,280,Murder in the First,drama thriller,1995
278,281,Nobody's Fool,drama,1994
279,282,Nell,drama,1994
280,283,New Jersey Drive,crime drama,1995
281,284,New York Cop,action crime,1996
282,285,Beyond Bedlam,drama horror,1993
283,286,Nemesis 2: Nebula,action sci-fi thriller,1995
284,287,Nina Takes a Lover,comedy romance,1994
285,288,Natural Born Killers,action thriller,1994
286,289,Only You,comedy romance,1994
287,290,Once Were Warriors,crime drama,1994
288,291,Poison Ivy II,thriller,1995
289,292,Outbreak,action drama thriller,1995
290,293,"Professional, The (a.k.a. Leon: The Professional)",crime drama romance thriller,1994
291,294,"Perez Family, The",comedy romance,1995
292,295,"Pyromaniac's Love Story, A",comedy romance,1995
293,296,Pulp Fiction,crime drama,1994
294,297,Panther,drama,1995
295,298,Pushing Hands,comedy,1992
296,299,Priest,drama,1994
297,300,Quiz Show,drama,1994
298,301,Picture Bride,drama romance,1995
299,302,Queen Margot (La Reine Margot),drama romance,1994
300,303,"Quick and the Dead, The",action adventure western,1995
301,304,Roommates,comedy drama,1995
302,305,Ready to Wear (Pret-A-Porter),comedy,1994
303,306,Three Colors: Red,drama,1994
304,307,Three Colors: Blue,drama,1993
305,308,Three Colors: White,drama,1994
306,309,"Red Firecracker, Green Firecracker",drama,1994
307,310,Rent-a-Kid,comedy,1995
308,311,Relative Fear,horror thriller,1994
309,312,Stuart Saves His Family,comedy,1995
310,313,"Swan Princess, The",animation children's,1994
311,314,"Secret of Roan Inish, The",drama,1994
312,315,"Specialist, The",action,1994
313,316,Stargate,action adventure sci-fi,1994
314,317,"Santa Clause, The",children's comedy fantasy,1994
315,318,"Shawshank Redemption, The",drama,1994
316,319,Shallow Grave,thriller,1994
317,320,Suture,film-noir thriller,1993
318,321,Strawberry and Chocolate (Fresa y chocolate),drama,1993
319,322,Swimming with Sharks,comedy drama,1995
320,324,"Sum of Us, The",comedy,1994
321,325,National Lampoon's Senior Trip,comedy,1995
322,326,To Live (Huozhe),drama,1994
323,327,Tank Girl,action comedy musical sci-fi,1995
324,328,Tales From the Crypt Presents: Demon Knight,horror,1995
325,329,Star Trek: Generations,action adventure sci-fi,1994
326,330,Tales from the Hood,comedy horror,1995
327,331,Tom & Viv,drama,1994
328,332,Village of the Damned,horror sci-fi,1995
329,333,Tommy Boy,comedy,1995
330,334,Vanya on 42nd Street,drama,1994
331,335,"Underneath, The",mystery thriller,1995
332,336,"Walking Dead, The",drama war,1995
333,337,What's Eating Gilbert Grape,drama,1993
334,338,Virtuosity,sci-fi thriller,1995
335,339,While You Were Sleeping,comedy romance,1995
336,340,"War, The",adventure drama,1994
337,341,Double Happiness,drama,1994
338,342,Muriel's Wedding,comedy romance,1994
339,343,"Baby-Sitters Club, The",children's,1995
340,344,Ace Ventura: Pet Detective,comedy,1994
341,345,"Adventures of Priscilla, Queen of the Desert, The",comedy drama,1994
342,346,Backbeat,drama musical,1993
343,347,Bitter Moon,drama,1992
344,348,Bullets Over Broadway,comedy,1994
345,349,Clear and Present Danger,action adventure thriller,1994
346,350,"Client, The",drama mystery thriller,1994
347,351,"Corrina, Corrina",comedy drama romance,1994
348,352,Crooklyn,comedy,1994
349,353,"Crow, The",action romance thriller,1994
350,354,Cobb,drama,1994
351,355,"Flintstones, The",children's comedy,1994
352,356,Forrest Gump,comedy romance war,1994
353,357,Four Weddings and a Funeral,comedy romance,1994
354,358,Higher Learning,drama,1995
355,359,I Like It Like That,comedy drama romance,1994
356,360,I Love Trouble,action comedy,1994
357,361,It Could Happen to You,drama romance,1994
358,362,"Jungle Book, The",adventure children's romance,1994
359,363,"Wonderful, Horrible Life of Leni Riefenstahl, The (Die Macht der Bilder)",documentary,1993
360,364,"Lion King, The",animation children's musical,1994
361,365,Little Buddha,drama,1993
362,366,Wes Craven's New Nightmare,horror,1994
363,367,"Mask, The",comedy crime fantasy,1994
364,368,Maverick,action comedy western,1994
365,369,Mrs. Parker and the Vicious Circle,drama,1994
366,370,Naked Gun 33 1/3: The Final Insult,comedy,1994
367,371,"Paper, The",comedy drama,1994
368,372,Reality Bites,comedy drama,1994
369,373,Red Rock West,thriller,1992
370,374,Richie Rich,children's comedy,1994
371,375,Safe Passage,drama,1994
372,376,"River Wild, The",action thriller,1994
373,377,Speed,action romance thriller,1994
374,378,Speechless,comedy romance,1994
375,379,Timecop,action sci-fi,1994
376,380,True Lies,action adventure comedy romance,1994
377,381,When a Man Loves a Woman,drama,1994
378,382,Wolf,drama horror,1994
379,383,Wyatt Earp,western,1994
380,384,Bad Company,action,1995
381,385,"Man of No Importance, A",drama,1994
382,386,S.F.W.,drama,1994
383,387,"Low Down Dirty Shame, A",action comedy,1994
384,388,Boys Life,drama,1995
385,389,"Colonel Chabert, Le",drama romance war,1994
386,390,Faster Pussycat! Kill! Kill!,action comedy drama,1965
387,391,Jason's Lyric,crime drama,1994
388,392,"Secret Adventures of Tom Thumb, The",adventure children's,1993
389,393,Street Fighter,action,1994
390,394,Coldblooded,action,1995
391,395,Desert Winds,drama,1995
392,396,Fall Time,drama,1995
393,397,"Fear, The",horror,1995
394,398,Frank and Ollie,documentary,1995
395,399,Girl in the Cadillac,drama,1995
396,400,Homage,drama,1995
397,401,Mirage,action thriller,1995
398,402,Open Season,comedy,1996
399,403,Two Crimes,comedy crime drama,1995
400,404,Brother Minister: The Assassination of Malcolm X,documentary,1994
401,405,Highlander III: The Sorcerer,action sci-fi,1994
402,406,Federal Hill,drama,1994
403,407,In the Mouth of Madness,horror thriller,1995
404,408,8 Seconds,drama,1994
405,409,Above the Rim,drama,1994
406,410,Addams Family Values,comedy,1993
407,411,You So Crazy,comedy,1994
408,412,"Age of Innocence, The",drama,1993
409,413,Airheads,comedy,1994
410,414,"Air Up There, The",comedy,1994
411,415,Another Stakeout,comedy thriller,1993
412,416,Bad Girls,western,1994
413,417,Barcelona,comedy romance,1994
414,418,Being Human,drama,1993
415,419,"Beverly Hillbillies, The",comedy,1993
416,420,Beverly Hills Cop III,action comedy,1994
417,421,Black Beauty,adventure children's,1994
418,422,Blink,thriller,1994
419,423,Blown Away,action thriller,1994
420,424,Blue Chips,drama,1994
421,425,Blue Sky,drama romance,1994
422,426,Body Snatchers,horror sci-fi thriller,1993
423,427,Boxing Helena,mystery romance thriller,1993
424,428,"Bronx Tale, A",drama,1993
425,429,Cabin Boy,comedy,1994
426,430,Calendar Girl,drama,1993
427,431,Carlito's Way,crime drama,1993
428,432,City Slickers II: The Legend of Curly's Gold,comedy western,1994
429,433,Clean Slate,comedy,1994
430,434,Cliffhanger,action adventure crime,1993
431,435,Coneheads,comedy sci-fi,1993
432,436,Color of Night,drama thriller,1994
433,437,Cops and Robbersons,comedy,1994
434,438,"Cowboy Way, The",action comedy,1994
435,439,Dangerous Game,drama,1993
436,440,Dave,comedy romance,1993
437,441,Dazed and Confused,comedy,1993
438,442,Demolition Man,action sci-fi,1993
439,443,"Endless Summer 2, The",documentary,1994
440,444,Even Cowgirls Get the Blues,comedy romance,1993
441,445,Fatal Instinct,comedy,1993
442,446,Farewell My Concubine,drama romance,1993
443,447,"Favor, The",comedy romance,1994
444,448,Fearless,drama,1993
445,449,Fear of a Black Hat,comedy,1993
446,450,With Honors,comedy drama,1994
447,451,Flesh and Bone,drama mystery romance,1993
448,452,Widows' Peak,drama,1994
449,453,For Love or Money,comedy,1993
450,454,"Firm, The",drama thriller,1993
451,455,Free Willy,adventure children's drama,1993
452,456,Fresh,drama,1994
453,457,"Fugitive, The",action thriller,1993
454,458,Geronimo: An American Legend,drama western,1993
455,459,"Getaway, The",action,1994
456,460,Getting Even with Dad,comedy,1994
457,461,Go Fish,drama romance,1994
458,462,"Good Man in Africa, A",action adventure,1994
459,463,Guilty as Sin,crime drama thriller,1993
460,464,Hard Target,action adventure crime thriller,1993
461,465,Heaven & Earth,action drama war,1993
462,466,Hot Shots! Part Deux,action comedy war,1993
463,467,Live Nude Girls,comedy,1995
464,468,"Englishman Who Went Up a Hill, But Came Down a Mountain, The",comedy romance,1995
465,469,"House of the Spirits, The",drama romance,1993
466,470,House Party 3,comedy,1994
467,471,"Hudsucker Proxy, The",comedy romance,1994
468,472,I'll Do Anything,comedy drama,1994
469,473,In the Army Now,comedy war,1994
470,474,In the Line of Fire,action thriller,1993
471,475,In the Name of the Father,drama,1993
472,476,"Inkwell, The",comedy drama,1994
473,477,What's Love Got to Do with It?,drama,1993
474,478,Jimmy Hollywood,comedy,1994
475,479,Judgment Night,action,1993
476,480,Jurassic Park,action adventure sci-fi,1993
477,481,Kalifornia,drama thriller,1993
478,482,Killing Zoe,thriller,1994
479,483,King of the Hill,drama,1993
480,484,Lassie,adventure children's,1994
481,485,Last Action Hero,action comedy,1993
482,486,Life with Mikey,comedy,1993
483,487,Lightning Jack,comedy western,1994
484,488,M. Butterfly,drama,1993
485,489,Made in America,comedy,1993
486,490,Malice,thriller,1993
487,491,"Man Without a Face, The",drama,1993
488,492,Manhattan Murder Mystery,comedy mystery,1993
489,493,Menace II Society,action crime drama,1993
490,494,Executive Decision,action thriller,1996
491,495,In the Realm of the Senses (Ai no corrida),drama,1976
492,496,What Happened Was...,comedy drama romance,1994
493,497,Much Ado About Nothing,comedy romance,1993
494,498,Mr. Jones,drama romance,1993
495,499,Mr. Wonderful,comedy romance,1993
496,500,Mrs. Doubtfire,comedy,1993
497,501,Naked,drama,1993
498,502,"Next Karate Kid, The",action children's,1994
499,503,"New Age, The",drama,1994
500,504,No Escape,action sci-fi,1994
501,505,North,comedy,1994
502,506,Orlando,drama,1993
503,507,"Perfect World, A",action drama,1993
504,508,Philadelphia,drama,1993
505,509,"Piano, The",drama romance,1993
506,510,Poetic Justice,drama,1993
507,511,"Program, The",action drama,1993
508,512,Robert A. Heinlein's The Puppet Masters,horror sci-fi,1994
509,513,Radioland Murders,comedy mystery romance,1994
510,514,"Ref, The",comedy,1994
511,515,"Remains of the Day, The",drama,1993
512,516,Renaissance Man,comedy drama war,1994
513,517,Rising Sun,action drama mystery,1993
514,518,"Road to Wellville, The",comedy,1994
515,519,Robocop 3,sci-fi thriller,1993
516,520,Robin Hood: Men in Tights,comedy,1993
517,521,Romeo Is Bleeding,crime thriller,1993
518,522,Romper Stomper,action drama,1992
519,523,Ruby in Paradise,drama,1993
520,524,Rudy,drama,1993
521,525,"Saint of Fort Washington, The",drama,1993
522,526,"Savage Nights (Nuits fauves, Les)",drama,1992
523,527,Schindler's List,drama war,1993
524,528,"Scout, The",drama,1994
525,529,Searching for Bobby Fischer,drama,1993
526,530,Second Best,drama,1994
527,531,"Secret Garden, The",children's drama,1993
528,532,Serial Mom,comedy crime horror,1994
529,533,"Shadow, The",action,1994
530,534,Shadowlands,drama romance,1993
531,535,Short Cuts,drama,1993
532,536,"Simple Twist of Fate, A",drama,1994
533,537,Sirens,comedy drama,1994
534,538,Six Degrees of Separation,drama,1993
535,539,Sleepless in Seattle,comedy romance,1993
536,540,Sliver,thriller,1993
537,541,Blade Runner,film-noir sci-fi,1982
538,542,Son in Law,comedy,1993
539,543,So I Married an Axe Murderer,comedy romance thriller,1993
540,544,Striking Distance,action,1993
541,545,Harlem,drama,1993
542,546,Super Mario Bros.,action adventure children's sci-fi,1993
543,547,Surviving the Game,action adventure thriller,1994
544,548,Terminal Velocity,action,1994
545,549,Thirty-Two Short Films About Glenn Gould,documentary,1993
546,550,Threesome,comedy romance,1994
547,551,"Nightmare Before Christmas, The",children's comedy musical,1993
548,552,"Three Musketeers, The",action adventure comedy,1993
549,553,Tombstone,western,1993
550,554,Trial by Jury,thriller,1994
551,555,True Romance,action crime romance,1993
552,556,"War Room, The",documentary,1993
553,557,Mamma Roma,drama,1962
554,558,"Pagemaster, The",action adventure animation children's fantasy,1994
555,559,"Paris, France",comedy,1993
556,560,"Beans of Egypt, Maine, The",drama,1994
557,561,Killer (Bulletproof Heart),thriller,1994
558,562,Welcome to the Dollhouse,comedy drama,1995
559,563,Germinal,drama,1993
560,564,Chasers,comedy,1994
561,565,Cronos,horror,1992
562,566,Naked in New York,comedy romance,1994
563,567,Kika,drama,1993
564,568,Bhaji on the Beach,comedy drama,1993
565,569,Little Big League,children's comedy,1994
566,570,"Slingshot, The (Kådisbellan )",comedy drama,1993
567,571,"Wedding Gift, The",drama,1994
568,572,Foreign Student,drama,1994
569,573,"Ciao, Professore! (Io speriamo che me la cavo )",drama,1993
570,574,Spanking the Monkey,comedy drama,1994
571,575,"Little Rascals, The",children's comedy,1994
572,576,Fausto,comedy,1993
573,577,Andre,adventure children's,1994
574,578,"Hour of the Pig, The",drama mystery,1993
575,579,"Scorta, La",thriller,1993
576,580,Princess Caraboo,drama,1994
577,581,"Celluloid Closet, The",documentary,1995
578,582,Metisse (Café au Lait),comedy,1993
579,583,Dear Diary (Caro Diario),comedy drama,1994
580,584,I Don't Want to Talk About It (De eso no se habla),drama,1993
581,585,"Brady Bunch Movie, The",comedy,1995
582,586,Home Alone,children's comedy,1990
583,587,Ghost,comedy romance thriller,1990
584,588,Aladdin,animation children's comedy musical,1992
585,589,Terminator 2: Judgment Day,action sci-fi thriller,1991
586,590,Dances with Wolves,adventure drama western,1990
587,591,Tough and Deadly,action drama thriller,1995
588,592,Batman,action adventure crime drama,1989
589,593,"Silence of the Lambs, The",drama thriller,1991
590,594,Snow White and the Seven Dwarfs,animation children's musical,1937
591,595,Beauty and the Beast,animation children's musical,1991
592,596,Pinocchio,animation children's,1940
593,597,Pretty Woman,comedy romance,1990
594,598,Window to Paris,comedy,1994
595,599,"Wild Bunch, The",western,1969
596,600,Love and a .45,thriller,1994
597,601,"Wooden Man's Bride, The (Wu Kui)",drama,1994
598,602,"Great Day in Harlem, A",documentary,1994
599,603,"Bye Bye, Love",comedy,1995
600,604,Criminals,documentary,1996
601,605,One Fine Day,drama romance,1996
602,606,Candyman: Farewell to the Flesh,horror,1995
603,607,Century,drama,1993
604,608,Fargo,crime drama thriller,1996
605,609,Homeward Bound II: Lost in San Francisco,adventure children's,1996
606,610,Heavy Metal,action adventure animation horror sci-fi,1981
607,611,Hellraiser: Bloodline,action horror sci-fi,1996
608,612,"Pallbearer, The",comedy,1996
609,613,Jane Eyre,drama romance,1996
610,614,Loaded,drama thriller,1994
611,615,Bread and Chocolate (Pane e cioccolata),drama,1973
612,616,"Aristocats, The",animation children's,1970
613,617,"Flower of My Secret, The (La Flor de Mi Secreto)",drama,1995
614,618,Two Much,comedy romance,1996
615,619,Ed,comedy,1996
616,620,Scream of Stone (Schrei aus Stein),drama,1991
617,621,My Favorite Season,drama,1993
618,623,"Modern Affair, A",romance,1995
619,624,Condition Red,action drama thriller,1995
620,625,Asfour Stah,drama,1990
621,626,"Thin Line Between Love and Hate, A",comedy,1996
622,627,"Last Supper, The",drama thriller,1995
623,628,Primal Fear,drama thriller,1996
624,629,Rude,drama,1995
625,630,Carried Away,drama romance,1996
626,631,All Dogs Go to Heaven 2,animation children's musical,1996
627,632,Land and Freedom (Tierra y libertad),war,1995
628,633,Denise Calls Up,comedy,1995
629,634,Theodore Rex,comedy,1995
630,635,"Family Thing, A",comedy drama,1996
631,636,Frisk,drama,1995
632,637,Sgt. Bilko,comedy,1996
633,638,Jack and Sarah,romance,1995
634,639,Girl 6,comedy,1996
635,640,Diabolique,drama thriller,1996
636,641,"Little Indian, Big City (Un indien dans la ville)",comedy,1994
637,642,Roula,drama,1995
638,643,Peanuts - Die Bank zahlt alles,comedy,1996
639,644,Happy Weekend,comedy,1996
640,645,Nelly & Monsieur Arnaud,drama,1995
641,647,Courage Under Fire,drama war,1996
642,648,Mission: Impossible,action adventure mystery,1996
643,649,Cold Fever (Á köldum klaka),comedy drama,1994
644,650,Moll Flanders,drama,1996
645,651,"Superweib, Das",comedy,1996
646,652,"301, 302",mystery,1995
647,653,Dragonheart,action adventure fantasy,1996
648,654,Und keiner weint mir nach,drama romance,1996
649,655,Mutters Courage,comedy,1995
650,656,Eddie,comedy,1996
651,657,Yankee Zulu,comedy drama,1994
652,658,Billy's Holiday,drama,1995
