,movie_id,tags,title,genres,year
31,32,biology genetics brad pitt bruce willis time travel gilliam brad pitt bruce willis gfei own it brad pitt bruce willis excellent gilliam sci fi dark thriller vhs brilliant classic genius psychology after you watch it you spend hours thinkig about it weird good film terry gilliam special overrated time travel dystopia post apocalyptic time travel time travel time travel time travel time travel r brad pitt great actors futuristmovies com bruce willis joseph melito terry gilliam adventure brad pitt bruce willis drama time paradox imdb top  twist ending dystopia drama sci fi remake good as hell brad pitt madeleine stowe remake of a french film time travel bruce willis dystopian future excellent time travel bruce willis post apocalyptic time travel brad pitt end of the world time travel end of the world remake of a french film time travel terry gilliam dystopian twist ending excellent brad pitt mindfuck movie brad pitt owned brad pitt bruce willis sci fi time travel end of the world future post apocalyptic post apocalyptic time travel twist ending seen at the cinema brad pitt bruce willis adapted from inspired by short film nature of insanity plot point bio medical danger post apocalyptic time travel  divx altering history dystopic future saturn award best costumes saturn award best science fiction film saturn award best supporting actor time travel after you watch it you spend hours thinkig about it time travel end of the world future sci fi time travel dystopia monty python related time travel time travel owned dvd bruce willis tumey s dvds strong director get brad pitt bruce willis terry gilliam time travel time travel time travel twist ending based on short film remake of a french film thriller brad pitt bruce willis terry gilliam terry gilliam memory remains remake sf time travel sci fi time travel depressing end of the world time travel clearplay r asylum biological warfare dystopia post apocalyptic remake time travel time travel dystopia post apocalyptic terry gilliam brad pitt dvd video complicated interesting violence sci fi twist ending post apocalyptic sci fi time travel brad pitt bruce willis not seen time travel my favorite reviewers disliked this film that s when i started to trust them less mindfuck mindfuck drama sci-fi drama sci-fi drama sci-fi drama sci-fi drama sci-fi,Twelve Monkeys ,drama sci-fi,1995
32,33,nan,Wings of Courage ,adventure romance,1995
33,34,dvd collection animal movie pigs chris noonan adventure infantil boring villain nonexistent or not needed for good story pigs pigs talking animals favorite own way overrated farm tale talking animals animal pig barnyard animals hugo weaving animal movie biography infantil animal animal animals pigs pig animals clv afi  cheers children's comedy drama children's comedy drama children's comedy drama children's comedy drama children's comedy drama,Babe ,children's comedy drama,1995
34,35,on dvr artists biopics emma thompson artist strong woman drama romance drama romance drama romance drama romance drama romance,Carrington ,drama romance,1995
35,36,death penalty based on a book death penalty nun prison sean penn true story death murder strong abe ari knoll rated r death penalty nun oscar best actress death row death penalty prison emotion death penalty couldn t finish nun pompadour prison true story pena de muerte nun  prison can t remember buy deaf sean penn watch sean penn book crime drama tim robbins uk usa ethics moral dilemma death penalty nun death institutions prison drama drama drama drama drama,Dead Man Walking ,drama,1995
36,37,nan,Across the Sea of Time ,documentary,1995
37,38,twins twins inter related lives comedy comedy comedy comedy comedy,It Takes Two ,comedy,1995
38,39,teen jane austen want to own emma jane austen girlie movie saw it ten times high school jane austen updated classics alicia silverstone best comedy romance adaptation classic jane austen teen like for sure seen more than once romance adapted from book author jane austen classic jane austen high school comedy dumb teen alicia silverstone romance chick flick fashion teen very funny omigawd author jane austen comedy romance comedy romance comedy romance comedy romance comedy romance,Clueless ,comedy romance,1995
39,40,in netflix queue south africa disk drama drama drama drama drama,"Cry, the Beloved Country ",drama,1995
40,41,based on a play robert downey jr shakespeare ian mckellen shakespeare updated classics adapted from play playwright shakespeare drama war drama war drama war drama war drama war,Richard III ,drama war,1995
41,42,bank robbery eric s dvds action crime drama action crime drama action crime drama action crime drama action crime drama,Dead Presidents ,action crime drama,1995
42,43,england th century nudity topless drama drama drama drama drama,Restoration ,drama,1995
43,44,martial arts seen at the cinema adapted from game video game adaptation christopher lambert video game adaptation movie to see video game adaptation video game adaptation fatality action adventure action adventure action adventure action adventure action adventure,Mortal Kombat ,action adventure,1995
44,45,journalism library bibliothek best performance nicole kidman as suzanne stone maretto erlend s dvds joaquin phoenix wayne knight dark comedy clearplay r dark comedy dark comedy comedy drama comedy drama comedy drama comedy drama comedy drama,To Die For ,comedy drama,1995
45,46,wedding winona ryder at her worst bibliothek a chick flick nudity topless brief drama romance drama romance drama romance drama romance drama romance,How to Make an American Quilt ,drama romance,1995
46,47,imdb top  brad pitt crime serial killer psychology brad pitt crime kevin spacey serial killer want it scary strange spacey excellent pitt brilliant freeman wow a wonderful movie must must watch serial killer divx genius horror serial killer serial killer crime serial killer serial killer amazing books detective envy gluttony greed husband wife relationship library vhs lust numbers pride religion setting library seven sin sins sloth week wrath bradpitt serial killer amazing brad pitt violent very good aã ã o brad pitt drama policial imdb top  serial killer crime serial killer scope serial killer serial killer kevin spacey morgan freeman very good thriller brad pitt brad pitt morgan freeman serial killer brad pitt evil investigation serial killer creepy disturbing gloomy grim gruesome menacing murder investigations ominous serial killers crime serial killer police psychological drama brad pitt seen more than once spannend owned brad pitt morgan freeman psychology serial killer gory seen more than once worst ever seen at the cinema top  ever watched  bfi modern classic murder serial killer   want david fincher saturn award best makeup saturn award best writing kevin spacey crime kevin spacey serial killer sins crime investigation powerful ending serial killer super interesting thriller crime serial killer graphic violence crime investigation seven deadly sins owned owned kevin spacey tumey s dvds tumey s to see again evil suspenseful scary stuff kevin spacey theater vhs brad pitt serial killer serial killer crime mystery powerful ending psychological drama psychology serial killer twists turns biblical crime drama twists turns brad pitt david fincher morgan freeman crime serial killer worst ever crime serial killer in netflix queue crime david fincher drama mystery thriller usa serial killer serial killer clearplay r ashley judd brad pitt dante morgan freeman disturbing serial killer the best suitcase of light brad pitt crime serial killer thriller severed head in a box ashley judd crime thriller crime thriller crime thriller crime thriller crime thriller,Seven (Se7en) ,crime thriller,1995
47,48,disney eric goldberg mike gabriel ø ø ø³ø ø³ø øªùš disney katottava disney animated feature s interracial romance oscar best music original score oscar best music original song cartoon disney cartoon disney get david ogden stiers irene bedard john kassir judy kuhn mel gibson russell means disney cartoon mm animation children's musical romance animation children's musical romance animation children's musical romance animation children's musical romance animation children's musical romance,Pocahontas ,animation children's musical romance,1995
48,49,lesbian own circus nudity topless notable lesbian gay religion drama romance drama romance drama romance drama romance drama romance,When Night Is Falling ,drama romance,1995
49,50,kevin spacey ensemble cast complicated must be seen more than once twist ending crime filim noir funny tricky whodunnit must see more than once great ending heist organized crime twist ending library oscar best supporting actor dvd puzzle like conspiracy oscar best supporting actor puzzle like very good conspiracy sensational imdb top  crime benicio del toro unreliable narrators benicio del toro best of the  s caper movie flash back gabriel byrne kevin spacey twist ending unreliable narrators keyser sose keyser soze twist ending benicio del toro kevin spacey kevin spacey own twist ending erlend s dvds twist ending caper flashbacks mindfuck oscar supporting actor seen at the cinema suspense tricky twist ending whodunnit awesome crime tricky imdb top  dark oscar best supporting actor kevin spacey kevin spacey eric s dvds twist ending want to see again suspense seen at the cinema  want must see kevin spacey crime keser soze kevin spacey suspense whodunnit owned keyser sose tricky tumey s dvds dvd kevin spacey tricky fell asleep overrated spaceyal mindfuck suspense heist complicated conspiracy kevin spacey organized crime oscar best supporting actor twist ending kevin spacey watch again kevin spacey is soze kevin spacey benicio del toro crime gabriel byrne kevin spacey twist ending oscar winner clearplay r my movies kevin spacey organized crime twist whodunnit kevin spacey suspense tricky twist ending suspense complot tricky complot mentiras robo oscar best supporting actor twist ending keyser soze mindfuck kevin spacey crime thriller crime thriller crime thriller crime thriller crime thriller,"Usual Suspects, The ",crime thriller,1995
50,51,nan,Guardian Angel ,action drama thriller,1994
51,52,woody allen woody allen adoption prostitution oscar best supporting actress woody allen erlend s dvds woody allen seen at the cinema watched  woody allen woody allen comedy comedy comedy comedy comedy,Mighty Aphrodite ,comedy,1995
52,53,immigrants library vhs drama drama drama drama drama,Lamerica ,drama,1994
53,54,soccer children's comedy children's comedy children's comedy children's comedy children's comedy,"Big Green, The ",children's comedy,1995
54,55,musicians drama drama drama drama drama,Georgia ,drama,1995
55,56,nan,Kids of the Round Table ,adventure children's fantasy,1995
56,57,robert downey jr boring drama lovable drama drama drama drama drama,Home for the Holidays ,drama,1995
57,58,writing italian love story on disc italian bittersweet romance italian bittersweet romance pablo neruda poetry sicily writing poetry primer troisi poetry corvallis library drama romance drama romance drama romance drama romance drama romance,"Postino, Il (The Postman) ",drama romance,1994
58,59,  drama mystery drama mystery drama mystery drama mystery drama mystery,"Confessional, The (Le Confessionnal) ",drama mystery,1995
59,60,magic adventure children's fantasy adventure children's fantasy adventure children's fantasy adventure children's fantasy adventure children's fantasy,"Indian in the Cupboard, The ",adventure children's fantasy,1995
60,61,nan,Eye for an Eye ,drama thriller,1996
61,62,high school music sappy a great homage to great teachers who educate through living what they think and feel emotion overrated seen more than once high school teacher as protagonist emotion music music tearful mrs dewinter glenne headly jay thomas olympia dukakis richard dreyfuss william h macy inspirational moving music teacher tearful stupid drama drama drama drama drama,Mr. Holland's Opus ,drama,1995
62,63,wayans brothers funny when your  less funny when your not comedy comedy comedy comedy comedy,Don't Be a Menace to South Central While Drinking Your Juice in the Hood ,comedy,1996
63,64,nan,Two if by Sea ,comedy romance,1996
64,65,buddy comedy polly shore golden raspberry worst actor can t remember stupid stupid movie comedy comedy comedy comedy comedy,Bio-Dome ,comedy,1996
65,66,imdb bottom  crap sci-fi thriller sci-fi thriller sci-fi thriller sci-fi thriller sci-fi thriller,Lawnmower Man 2: Beyond Cyberspace ,sci-fi thriller,1996
66,67,hw drama drama drama drama drama drama,Two Bits ,drama,1995
67,68,nudity full frontal notable vhs comedy romance comedy romance comedy romance comedy romance comedy romance,French Twist (Gazon maudit) ,comedy romance,1995
68,69,friendship ice cube wired  greatest soundtracks comedy comedy comedy comedy comedy,Friday ,comedy,1995
69,70,quentin tarantino vampires tarantino bar bats bikers bouncer brothers campy frontier hostage intense mexico motorhome on the road perverted preacher see planet terror sex offender snake snakes so bad it s good splatter strippers tattoo whip cult film quentin tarantino tarantino violence vampires own tarantino diablo cult film nudity topless brief seen at the cinema cult film tarantino vampire didn t finish tarantino strippers vampires quentin tarantino vampires quentin tarantino robert rodriguez terrible ending vampires tarantino danny trejo great use of music quentin tarantino robert rodriguez vampire vampires violence action comedy crime horror thriller action comedy crime horror thriller action comedy crime horror thriller action comedy crime horror thriller action comedy crime horror thriller,From Dusk Till Dawn ,action comedy crime horror thriller,1996
70,71,nudity topless action action action action action,Fair Game ,action,1995
71,72,bad whit stillman coming of age literate talky understated wistful witty wry whit stillman meets diner underrated whit stillman coming of age comedy drama comedy drama comedy drama comedy drama comedy drama,Kicking and Screaming ,comedy drama,1995
72,73,nan,"Misérables, Les ",drama musical,1995
73,74,bit too sweet girlie movie romance mary stuart masterson romance drama romance drama romance drama romance drama romance drama romance,Bed of Roses ,drama romance,1996
74,75,golden raspberry worst actor comedy drama comedy drama comedy drama comedy drama comedy drama,Big Bully ,comedy drama,1996
75,76,philip k dick artificial intelligence post apocalyptic philip k dick nudity topless philip k dick artificial intelligence philip k dick post apocalyptic philip k dick sci-fi thriller sci-fi thriller sci-fi thriller sci-fi thriller sci-fi thriller,Screamers ,sci-fi thriller,1995
76,77,nan,Nico Icon ,documentary,1995
77,78,nudity topless jack nicholson sean penn drama drama drama drama drama,"Crossing Guard, The ",drama,1995
78,79,nudity topless drama thriller drama thriller drama thriller drama thriller drama thriller,"Juror, The ",drama thriller,1996
79,80,children different lost classic cultural customs and traditions girl goldfish money new year s eve on dvr shop establishment sibling relationships snake soldier tailor tehran drama drama drama drama drama,"White Balloon, The (Badkonake Sefid ) ",drama,1995
80,81,colorado recommendz top pick own recommendz top pick underrated detroit    buscemi crime drama romance crime drama romance crime drama romance crime drama romance crime drama romance,Things to Do in Denver when You're Dead ,crime drama romance,1995
81,82,sad but good nudity full frontal   intellectual strong woman oscar best foreign language film toronto film festival winner toronto film festival winner  drama drama drama drama drama,Antonia's Line (Antonia) ,drama,1995
82,83, drama drama drama drama drama,Once Upon a Time... When We Were Colored ,drama,1995
83,84,nan,Last Summer in the Hamptons ,comedy drama,1995
84,85,to see th century a s byatt a s byatt adaptation victorian nudity full frontal notable nudity full frontal notable drama romance drama romance drama romance drama romance drama romance,Angels and Insects ,drama romance,1995
85,86,white squall history ridley scott history ridley scott storm educational adventure drama adventure drama adventure drama adventure drama adventure drama,White Squall ,adventure drama,1996
86,87,nan,Dunston Checks In ,children's comedy,1996
87,88,chris farley easily confused with other movie s title comedy chris farley snl not bad comedy comedy comedy comedy comedy,Black Sheep ,comedy,1996
88,89,johnny depp johnny depp johnny depp christopher walken johnny depp suspense synchronic action thriller action thriller action thriller action thriller action thriller,Nick of Time ,action thriller,1995
89,90,nan,"Journey of August King, The ",drama,1995
90,92,what is with robert s bangs in this movie grr jekyll and hyde can t remember john malkovich drama thriller drama thriller drama thriller drama thriller drama thriller,Mary Reilly ,drama thriller,1996
91,93,angela bassett comedy romance comedy romance comedy romance comedy romance comedy romance,Vampire in Brooklyn ,comedy romance,1995
92,94,beautiful portman uma thurman portman drama drama drama drama drama,Beautiful Girls ,drama,1996
93,95,air force mark gordon productions nuclear bomb park ranger r scope utah want watch action foqam action thriller action thriller action thriller action thriller action thriller,Broken Arrow ,action thriller,1996
94,96,theater comedy comedy comedy comedy comedy,In the Bleak Midwinter ,comedy,1995
95,97,imdb top  french amazing black and white missing gun riot social commentary french biting black and white bleak cannes best director co production confrontational cynical disturbing drugs ghetto paris r racism riot social commentary angry biting bleak confrontational cynical disturbing ominous french racism   paris still current tumey s dvds drama drama drama drama drama,"Hate (Haine, La) ",drama,1995
96,98,directorial debut jude law want to own want to own action thriller action thriller action thriller action thriller action thriller,Shopping ,action thriller,1994
97,99,nan,Heidi Fleiss: Hollywood Madam ,documentary,1995
98,100,own politics drama thriller drama thriller drama thriller drama thriller drama thriller,City Hall ,drama thriller,1996
99,101,directorial debut texas crime deadpan humorous nothing goes right quirky sibling relationships sweet talky unlikely criminals wistful wes anderson seen more than once wes anderson bill murray wes anderson quirky rent theater tv wes anderson seen more than once wes anderson owen wilson off beat comedy need to own dvd video to rent comedy comedy comedy comedy comedy,Bottle Rocket ,comedy,1996
100,102,nan,Mr. Wrong ,comedy,1996
101,103,forgettable thriller thriller thriller thriller thriller,Unforgettable ,thriller,1996
102,104,adam sandler golf golf hockey adam sandler recommendz top pick haha seen more than once setting golf course sport golf divx golf filmed in bc seen more than once seen more than once adam sandler hayao miyazaki golf test tag adam sandler golf foqam golf sports you re gonna die clown comedy comedy comedy comedy comedy,Happy Gilmore ,comedy,1996
103,105,based on a book book heartwarming deliberate heartwarming lyrical sentimental tearjerking warm wistful owned adapted from book chick flick drama romance drama romance drama romance drama romance drama romance,"Bridges of Madison County, The ",drama romance,1995
104,106,nan,Nobody Loves Me (Keiner liebt mich) ,comedy drama,1994
105,107,based on a book franchise talking animals muppets muppets pirates muppets muppets pirates pirates bill connolly david goelz jennifer saunders steve whitmire tim curry muppets adventure children's comedy musical adventure children's comedy musical adventure children's comedy musical adventure children's comedy musical adventure children's comedy musical,Muppet Treasure Island ,adventure children's comedy musical,1996
106,108,nan,Catwalk ,documentary,1995
107,109,nan,Headless Body in Topless Bar ,comedy,1995
108,110,bullshit history medieval bloodshed hero mel gibson scotland a very touching movie great role played by mel gibson as william wallace overrated overrated divx overrated great action and tear jeker action drama biopic scotland oscar owned oscar best cinematography oscar best directing oscar best picture best movie ever made brutal drama epic stirring gibson overrated kilts classic mel gibson action adventure drama guerra mel gibson imdb top  drama shit on a stick drama epic history medieval so romantic earnest forceful lavish passionate poignant sweeping visceral mel gibson nudity topless best war films mel gibson oscar best picture great movie eric s dvds nudity topless mel gibson down grade want to see again visual dvd mel gibson drama mel gibson freedom  want biography oscar best picture adult sad part quite shocking historical epic stirring owned tumey s dvds movie for the kids medieval mel gibson war don t remember mel gibson oscar best picture mel gibson mel gibson action drama cavalry charge mel gibson breathtaking history drama england historical revenge scotland war mel gibson loved it oscar winner medieval period scotland freedom sword fight tribal mel gibson overrated mel gibson mel gibson mel gibson dvd video violent medieval epic violent overrated mel gibson mel gibson afi  cheers afi  thrills mel gibson oscar best cinematography oscar best directing oscar best picture scotland evangelical inspiration action drama war action drama war action drama war action drama war action drama war,Braveheart ,action drama war,1995
109,111,cameo martin scorsese cinematographer michael chapman setting nyc ohsoso do zassania classic neo noir assassination classic golden palm national film registry taxi driver film theory criticism martin scorsese cult film robert de niro scorcese imdb top  bibliothek very good thriller atmospheric classic forceful psychopath slow afi  best performance robert de niro as travis bickle going postal anomie assassination atmospheric classic cult film new york city oscar nominee best picture visceral assassination plots disturbing forceful grim lurid menacing obsessive quests paranoid prostitutes unrequited love visceral j netflix best picture classic cult film dvd bfi classic killer as protagonist psychopath as hero setting nyc classic anti hero city life neo noir new york vigilantism harvey keitel jodie foster peter boyle robert de niro jodie foster martin scorsese robert de niro anomie classic cult film assassination insane martin scorsese boring psychopath tumey s dvds tumey s to see again can t remember deconstructive classic cult film martin scorsese robert de niro vigilatism assassination classic martin scorsese cult film classic golden palm deniro  stars cult film forceful afi  afi  movie quotes afi  thrills drama thriller drama thriller drama thriller drama thriller drama thriller,Taxi Driver ,drama thriller,1976
110,112,hong kong jackie chan kung fu martial arts india kung fu kung fu martial arts rutger hauer jackie chan jackie chan mixed marriage bad dub action adventure crime action adventure crime action adventure crime action adventure crime action adventure crime,Rumble in the Bronx ,action adventure crime,1995
111,113,nan,Before and After ,drama mystery,1996
112,114,less than  ratings drama drama drama drama drama,Margaret's Museum ,drama,1995
113,115,nan,Happiness Is in the Field ,comedy,1995
114,116,oscar best documentary feature holocaust true story anti semitism archive footage bbc produced biography holocaust oscar best documentary feature pg the shoah true story oscar documentary the shoah   biography true story documentary documentary documentary documentary documentary,Anne Frank Remembered ,documentary,1995
115,117,disturbing crime crime crime crime crime,"Young Poisoner's Handbook, The ",crime,1995
116,118,nan,If Lucy Fell ,comedy romance,1996
117,119,nan,"Steal Big, Steal Little ",comedy,1995
118,120,nan,Race the Sun ,drama,1996
119,121,based on a true story child abuse child abuse child abuse drama drama drama drama drama,"Boys of St. Vincent, The ",drama,1993
120,122,dating nudity topless brief can t remember comedy romance comedy romance comedy romance comedy romance comedy romance,Boomerang ,comedy romance,1992
121,123,excellent airport birthday breakups and divorces cops foggy good music hong kong indians ironic jogging jukebox library vhs loneliness may  movielens quickpick obsession on dvr pineapple smuggling stewardess sunglasses ticket time narrated brief encounters dreamlike fanciful lyrical melancholy mistaken identities nocturnal opposites attract reflective stylized urbane wong kar wai amelie esque hongkong very good wong kar wai drama mystery romance drama mystery romance drama mystery romance drama mystery romance drama mystery romance,Chungking Express ,drama mystery romance,1994
122,124,nan,"Star Maker, The (Uomo delle stelle, L') ",drama,1995
123,125,nudity topless brief want to see again screwball comedy comedy comedy comedy comedy comedy,Flirting With Disaster ,comedy,1996
124,126,nan,"NeverEnding Story III, The ",adventure children's fantasy,1994
125,127,nan,"Silence of the Palace, The (Saimt el Qusur) ",drama,1994
126,128,nan,Jupiter's Wife ,documentary,1994
127,129,nudity topless notable comedy romance comedy romance comedy romance comedy romance comedy romance,Pie in the Sky ,comedy romance,1995
128,130,nan,Angela ,drama,1995
129,131,nan,Frankie Starlight ,drama romance,1995
130,132,flop nudity rear san francisco screenwriter joe eszterhas nudity rear nudity topless brief thriller thriller thriller thriller thriller,Jade ,thriller,1995
131,133,nan,Nueba Yol ,comedy drama,1995
132,134,illegal art documentary documentary documentary documentary documentary,Sonic Outlaws ,documentary,1995
133,135,good comedy bruce dern harland williams harry dean stanton kelsey grammer lauren holly rebel commander renegade crew rip torn rob scheider rusty sub u s navy submarine william h macy submarine comedy comedy comedy comedy comedy,Down Periscope ,comedy,1996
134,136,documentary tragedy documentary documentary documentary documentary documentary,From the Journals of Jean Seberg ,documentary,1995
135,137,nan,Man of the Year ,documentary,1995
136,138,nan,"Neon Bible, The ",drama,1995
137,139,nan,Target ,action drama,1995
138,140,journalism bibliothek afternoon section journalism drama romance drama romance drama romance drama romance drama romance,Up Close and Personal ,drama romance,1996
