movie_id,title,genres,year,imdb_rating,imdb_num_votes,is_adult,runtime_minutes,budget,original_language,overview,popularity,revenue,tagline,tmdb_vote_count,tmdb_vote_avg
45,to die for,comedy drama,1995,6,47274,0,106,20000000,en,"Suzanne Stone wants to be a world-famous news anchor and she is willing to do anything to get what she wants. What she lacks in intelligence, she makes up for in cold determination and diabolical wiles. As she pursues her goal with relentless focus, she is forced to destroy anything and anyone that may stand in her way, regardless of the ultimate cost or means necessary.",11,21284514,All she wanted was a little attention,589,6
46,how to make an american quilt,drama romance,1995,6,11539,0,117,10000000,en,"Soon-to-be-wed graduate student Finn Dodd develops cold feet when she suspects her fiancé is cheating on her. In order to clear her head, Finn visits her grandmother, Hy, and great aunt, Glady Joe Cleary, in Grasse, Calif. There, Finn learns that Hy and Glady Joe are members of a group of passionate quilters, and over the course of her visit she is regaled with tales of love and life by women who have collected rich experiences and much wisdom.",11,41200020,There's beauty in the patterns of life.,140,6
47,seven (se7en),crime thriller,1995,8,1566459,0,127,33000000,en,"Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Sommerset researches each sin in an effort to get inside the killer's mind, while his novice partner, Mills, scoffs at his efforts to unravel the case.",44,327311859,Seven deadly sins. Seven ways to die.,16722,8
48,pocahontas,animation children's musical romance,1995,6,181654,0,81,55000000,en,"Pocahontas, daughter of a Native American tribe chief, falls in love with an English soldier as colonists invade 17th century Virginia.",47,346079773,An American legend comes to life.,4763,7
49,when night is falling,drama romance,1995,6,7008,0,94,0,en,"A prudish woman working on tenure as a literacy professor at a large urban university finds herself attracted to a free-spirited, liberal woman who works at a local carnival.",10,0,,52,6
50,"usual suspects, the",crime thriller,1995,8,1052570,0,106,0,en,A documentary on classic character actors,0,0,,0,0
51,guardian angel,action drama thriller,1994,-1,-1,-1,-1,3500000,en,"Copenhagen, Denmark, 1951. Criminal investigator Anders Olsen follows the case of a bank robber who eyewitnesses say appears to have been acting under some kind of trance.",8,0,Who controls your mind?,28,5
52,mighty aphrodite,comedy,1995,7,39949,0,95,15000000,en,"When Lenny and his wife, Amanda, adopt a baby, Lenny realizes that his son is a genius and becomes obsessed with finding the boy's biological mother in hopes that she will be brilliant too. But when he learns that Max's mother is Linda Ash, a kindhearted prostitute and porn star, Lenny is determined to reform her immoral lifestyle. A Greek chorus chimes in to relate the plot to Greek mythology in this quirky comedy.",10,6700000,"Of all human weaknesses, obsession is the most dangerous, and the silliest!",505,6
53,lamerica,drama,1994,7,2233,0,116,0,it,"Fiore, an Italian conman, arrives in post Communist Albania with Gino, his young apprentice, to set up a shoe factory that will never open. The con requires a native Albanian, so they designate Spiro, an impoverished and confused former political prisoner as chairman of the board. When Fiore returns to Italy to get government funds for the project, Spiro unexpectedly disappears and Gino sets out on a journey to find him. The search leads him to discover Spiro's tragic personal history and witness Albanian poverty firsthand.",2,0,,44,7
54,"big green, the",children's comedy,1995,5,10029,0,100,0,en,"No-budget, silent, Super 8 horror-comedy filmed some time in the early '80s about a suburban cannibal who lives in the titular Big Green House on the Corner.",0,0,,0,0
55,georgia,drama,1995,6,3050,0,115,20000000,en,"Georgia Rule follows a rebellious, uncontrollable teenager who is hauled off by her dysfunctional mother to spend the summer with her grandmother. Her journey will lead all three women to revelations of buried family secrets and an understanding that - regardless what happens - the ties that bind can never be broken.",11,25000167,"Mother. Daughter. Grandmother. In this family, attitude doesn't skip a generation.",364,6
56,kids of the round table,adventure children's fantasy,1995,5,339,0,89,0,en,"Set in modern times, Alex finds King Arthur's sword Excalibur and must prove himself worthy of it.",1,0,,3,3
57,home for the holidays,drama,1995,6,13129,0,103,0,en,"After losing her job, making out with her soon to be ex-boss, and finding out that her daughter plans to spend Thanksgiving with her boyfriend, Claudia Larson has to face spending the holiday with her family. She wonders if she can survive their crazy antics.",8,17519169,We'll do it every year... until we get it right.,134,6
58,"postino, il (the postman)",drama romance,1994,7,35856,0,108,0,it,Simple Italian postman learns to love poetry while delivering mail to a famous poet; he uses this to woo local beauty Beatrice.,10,0,Dreams do come true.,900,8
59,"confessional, the (le confessionnal)",drama mystery,1995,7,1588,0,100,0,en,A disturbed sculptor assumes the identity of a small town priest and designs a game of divine madness for a unsuspecting town.,1,0,,0,0
60,"indian in the cupboard, the",adventure children's fantasy,1995,6,28394,0,96,45000000,en,A nine-year-old boy gets a plastic Indian and a cupboard for his birthday and finds himself involved in adventure when the Indian comes to life and befriends him.,38,0,,473,6
61,eye for an eye,drama thriller,1996,6,16120,0,101,20000000,en,"It's fire and brimstone time as grieving mother Karen McCann takes justice into her own hands when a kangaroo court in Los Angeles fails to convict Robert Doob, the monster who raped and murdered her 17-year-old daughter.",10,26877589,What do you do when justice fails?,252,6
62,mr. holland's opus,drama,1995,7,38440,0,143,31000000,en,"In 1965, passionate musician Glenn Holland takes a day job as a high school music teacher, convinced it's just a small obstacle on the road to his true calling: writing a historic opus. As the decades roll by with the composition unwritten but generations of students inspired through his teaching, Holland must redefine his life's purpose.",11,106269971,"Of All the Lives He Changed, the One That Changed the Most Was His Own.",307,7
63,don't be a menace to south central while drinking your juice in the hood,comedy,1996,6,54151,0,89,3800000,en,"When Ashtray (Shawn Wayans) moves to South Central L.A. to live with his father (who appears to be the same age he is) and grandmother (who likes to talk tough and smoke reefer), he falls in with his gang-banging cousin Loc Dog (Marlon Wayans), who along with the requisite pistols and Uzi carries a thermo-nuclear warhead for self-defense. Will Ashtray be able to keep living the straight life?",60,20109115,"Finally, the movie that proves that Justice isn't always Poetic, Jungle Fever isn't always pretty, and Higher Learning can be a waste of time.",898,6
64,two if by sea,comedy romance,1996,5,5805,0,96,0,en,"Frank O'Brien, a petty thief, and his 7-year-long girlfriend Roz want to put an end to their unsteady lifestyle and just do that last job, which involves stealing a valuable painting. Frank takes Roz to an island on the coast of New England, where he wants to sell the painting and also hopes that their sagging relationship will get a positive push back up. Not everything goes as planned.",7,10658278,"A new comedy about love, laughter, and larceny",68,4
65,bio-dome,comedy,1996,4,27439,0,88,8500000,en,"Bud and Doyle are two losers who are doing nothing with their lives. Both of their girlfriends are actively involved in saving the environment, but the two friends couldn't care less about saving the Earth. One day, when a group of scientists begin a mission to live inside a ""Bio-Dome"" for a year without outside contact, Bud and Doyle mistakenly become part of the project themselves.",13,13400000,Bud and Doyle are here to save the world. But who's gonna save the world from Bud and Doyle?,274,4
66,lawnmower man 2: beyond cyberspace,sci-fi thriller,1996,2,9549,0,93,15000000,en,"Jobe is resuscitated by Jonathan Walker. He wants Jobe to create a special computer chip that would connect all the computers in the world into one network, which Walker would control and use. But what Walker doesn't realize is a group of teenage hackers are on to him and out to stop his plan.",10,2409225,"God made him simple. Science made him a god. Now, he wants revenge.",106,2
67,two bits,drama,1995,6,3435,0,85,0,en,"It's a hot summer day in 1933 in South Philly, where 12-year old Gennaro lives with his widowed mom and his ailing grandpa, who sits outside holding tight to his last quarter, which he's promised to Gennaro and which Gennaro would like to have to buy a ticket to the plush new movie theater. But grandpa's not ready to pass on the quarter or pass on to his final reward: he has some unfinished business with a woman from his past, and he enlists Gennaro to act as his emissary.",8,0,You're never too old to believe in a dream. Or too young to make one come true!,43,6
68,french twist (gazon maudit),comedy romance,1995,6,4929,0,104,0,fr,"After learning of her husband's infidelities, a housewife invites an itinerant lesbian to move in with them. None of their lives will ever be the same again.",9,0,A scorned wife. An outrageous affair. The perfect revenge.,244,6
69,friday,comedy,1995,7,109527,0,91,3500000,en,"Craig and Smokey are two guys in Los Angeles hanging out on their porch on a Friday afternoon, smoking and drinking, looking for something to do.",38,28215918,A lot can go down between thursday and saturday...,1335,7
70,from dusk till dawn,action comedy crime horror thriller,1996,7,305178,0,108,19000000,en,"Seth Gecko and his younger brother Richard are on the run after a bloody bank robbery in Texas. They escape across the border into Mexico and will be home-free the next morning, when they pay off the local kingpin. They just have to survive 'from dusk till dawn' at the rendezvous point, which turns out to be a Hell of a strip joint.",28,25836616,One night is all that stands between them and freedom. But it's going to be a hell of a night.,4735,7
71,fair game,action,1995,4,12855,0,91,50000000,en,"Max Kirkpatrick is a cop who protects Kate McQuean, a civil law attorney, from a renegade KGB team out to terminate her",17,11534477,He's a cop on the edge. She's a woman with a dangerous secret. And now they're both...,224,4
72,kicking and screaming,comedy drama,1995,6,13336,0,96,45000000,en,"Phil Weston has been unathletic his entire life. In college he failed at every sport that he tried out for. It looks like his 10-year old son, Sam, is following in his footsteps. But when Phil's hyper-competitive dad benches Sam, Phil decides to transfer his son to a new team which needs a coach. Phil steps in to be the temporary coach and immediately begins to butt heads with this dad over this new competition in their lives.",17,56070433,One man could lead this team to glory... That man was busy.,496,5
73,"misérables, les",drama musical,1995,7,1727,0,150,0,fr,"Inspired by the 2005 riots in Paris, Stéphane, a recent transplant to the impoverished suburb of Montfermeil, joins the local anti-crime squad. Working alongside his unscrupulous colleagues Chris and Gwada, Stéphane struggles to maintain order amidst the mounting tensions between local gangs. When an arrest turns unexpectedly violent, the three officers must reckon with the aftermath and keep the neighborhood from spiraling out of control.",32,0,,1151,7
74,bed of roses,drama romance,1996,6,8279,0,87,0,en,"The seeds of love are planted when Lisa, a high-powered investment banker, receives flowers from a secret admirer. But when his fairy-tale fantasies clash with her workaholic ways, they soon find out that sometimes, it's harder than it seems for love to conquer all.",7,19030691,He gave her flowers. She gave him a chance.,91,6
75,big bully,comedy drama,1996,4,5067,0,90,15000000,en,"A writer returns to his hometown where he faces the childhood nemesis whose life he ultimately ruined, only the bully wants to relive their painful past by torturing him once again.",7,2042530,A comedy for the kid in all of us.,55,4
76,screamers,sci-fi thriller,1995,6,26786,0,108,20000000,en,"SIRIUS 6B, Year 2078. On a distant mining planet ravaged by a decade of war, scientists have created the perfect weapon: a blade-wielding, self-replicating race of killing devices known as Screamers designed for one purpose only -- to hunt down and destroy all enemy life forms.",11,5781885,The last scream you hear will be your own.,391,6
77,nico icon,documentary,1995,7,714,0,70,0,en,"A look into the many lives of Christa Päffgen, otherwise known as Nico; from cutie German mädchen to the first of the supermodels, to glamorous diva of the Velvet Underground, to cult item, junkie and hag. Many faces for the same woman, whom, you realize, just couldn't bring herself to care enough to live.",1,0,,7,7
78,"crossing guard, the",drama,1995,6,13439,0,111,0,en,"After his daughter died in a hit and run, Freddy Gale has waited six years for John Booth, the man responsible, to be released from prison. On the day of release, Gale visits Booth and announces that he will kill him in one week. Booth uses his time to try and make peace with himself and his entourage, and even finds romance. Gale, whose life is spiraling down because of his obsession towards Booth, will bring himself on the very edge of sanity. At he end of the week, both men will find themselves on a collision course with each other.",8,0,"...some lives cross, others collide.",195,6
79,"juror, the",drama thriller,1996,5,18523,0,118,44000000,en,"With his gangster boss on trial for murder, a mob thug known as ""the Teacher"" tells Annie Laird she must talk her fellow jurors into a not-guilty verdict, implying that he'll kill her son Oliver if she fails. She manages to do this, but, when it becomes clear that the mobsters might want to silence her for good, she sends Oliver abroad and tries to gather evidence of the plot against her, setting up a final showdown.",10,22754725,There is no defense.,280,5
80,"white balloon, the (badkonake sefid )",drama,1995,7,7316,0,85,0,fa,Several people try to take advantage of a little girl's innocence to hustle money her mom gave to her to buy a goldfish with.,5,0,,59,7
81,things to do in denver when you're dead,crime drama romance,1995,6,27459,0,115,8000000,en,Five different criminals face imminent death after botching a job quite badly.,9,529766,Protect. Love. Honor. Avenge.,288,6
82,antonia's line (antonia),drama,1995,7,8709,0,102,900000,nl,"After World War II, Antonia and her daughter, Danielle, go back to their Dutch hometown, where Antonia's late mother has bestowed a small farm upon her. There, Antonia settles down and joins a tightly-knit but unusual community. Those around her include quirky friend Crooked Finger, would-be suitor Bas and, eventually for Antonia, a granddaughter and great-granddaughter who help create a strong family of empowered women.",8,0,A motion picture that celebrates everything you love about life.,83,6
83,once upon a time... when we were colored,drama,1995,7,535,0,115,0,en,"This film relates the story of a tightly connected Afro-American community informally called Colored Town where the inhabitants live and depend on each other in a world where racist oppression is everywhere, as told by a boy called Cliff who spent his childhood there. Despite this, we see the life of the community in all its joys and sorrows, of those that live there while others decide to leave for a better life north. For those remaining, things come to a serious situation when one prominent businessman is being muscled out by a white competitor using racist intimidation. In response, the community must make the decision of whether to submit meekly like they always have, or finally fight for their rights.",2,0,,3,5
84,last summer in the hamptons,comedy drama,1995,5,414,0,108,0,en,"Helena Mora, the head of an eccentric theatrical family, has decided to sell her large estate in the Hamptons because of her recent money troubles. Before she completes the sale, she wants to have one last gathering of family and friends, with dramatic performances. Bringing everyone together, though, creates rivalries and tension, especially for Oona, a temperamental but successful movie actress who seeks the approval of her creative peers.",1,0,,1,9
85,angels and insects,drama romance,1995,6,4603,0,116,0,en,"In Victorian England, wealthy patriarch Sir Harald Alabaster invites an impoverished biologist, William Adamson, into his home. There, William tries to continue his work, but is distracted by Alabaster's seductive daughter, Eugenia. William and Eugenia begin a torrid romance, but as the couple become closer, the young scientist begins to realize that dark, disturbing things are happening behind the closed doors of the Alabaster manor.",6,0,An elegant seduction. An erotic deception. A stunning revelation.,39,6
86,white squall,adventure drama,1996,6,23664,0,129,38000000,en,"In 1960, a hardy group of prep school students boards an old-fashioned sailing ship. With Capt. Christopher Sheldon at the helm, the oceangoing voyage is intended to teach the boys fortitude and discipline. But the youthful crew are about to get some unexpected instruction in survival when they get caught in the clutches of a white squall storm.",12,10300000,The strongest will in nature is the will to survive.,258,6
