movie_id,title,genres,year,original_language,budget,overview,popularity,revenue,tagline,tmdb_vote_avg,tmdb_vote_count,tmdb_id
22,copycat,crime drama thriller,1995,en,20000000,An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past.,12,32000000,"One man is copying the most notorious killers in history one at a time. Together, two women must stop him from killing again. Or they’re next.",6,708,27475
23,assassins,thriller,1995,en,0,"True crime meets global spy thriller in this gripping account of the assassination of Kim Jong-nam, the half brother of the North Korean leader. The film follows the trial of the two female assassins, probing the question: were the women trained killers or innocent pawns of North Korea?",71,0,,7,7,27475
24,powder,drama sci-fi,1995,en,0,"Harassed by classmates who won't accept his shocking appearance, a shy young man known as ""Powder"" struggles to fit in. But the cruel taunts stop when Powder displays a mysterious power that allows him to do incredible things. This phenomenon changes the lives of all those around him in ways they never could have imagined.",18,0,An extraordinary encounter with another human being.,6,451,27475
25,leaving las vegas,drama romance,1995,en,3600000,"Ben Sanderson, an alcoholic Hollywood screenwriter who lost everything because of his drinking, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera.",22,49800000,I Love You... The Way You Are.,7,1049,27475
26,othello,drama,1995,en,0,The evil Iago pretends to be friend of Othello in order to manipulate him to serve his own end in the film version of this Shakespeare classic.,10,0,"Envy, greed, jealousy and love.",6,115,27475
27,now and then,drama,1995,en,12000000,"Waxing nostalgic about the bittersweet passage from childhood to puberty in this tender coming-of-age tale, four childhood girlfriends -- Teeny, Chrissy, Samantha and Roberta -- recall the magical summer of 1970. During their walk down memory lane, they reconcile experiences with boys, secrets, bullies and more.",9,27400000,In every woman there is the girl she left behind.,6,342,27475
28,persuasion,romance,1995,en,0,Persuasion is the newest adaptation of the classic Jane Austen novel of the same name published in 1818. Anne falls deeply in love with handsome young naval officer Frederick Wentworth at the age of nineteen.,12,0,,7,219,27475
29,"city of lost children, the",adventure sci-fi,1995,fr,18000000,"A scientist in a surrealist society kidnaps children to steal their dreams, hoping that they slow his aging process.",15,1738611,Where happily ever after is just a dream.,7,796,27475
30,shanghai triad (yao a yao yao dao waipo qiao),drama,1995,zh,2300000,"Shanghai, China, 1930. When young Shuisheng arrives from the countryside, his uncle Liushu puts him at the service of Bijou, the mistress of Laoda, supreme boss of the Tang Triad, constantly threatened by his enemies, both those he knows and those lurking in the shadows.",9,0,"In 1930, Shanghai violence was not the problem. It was the solution.",6,57,27475
31,dangerous minds,drama,1995,en,23000000,"Former Marine Louanne Johnson lands a gig teaching in a pilot program for bright but underachieving teens at a notorious inner-city high school. After having a terrible first day, she decides she must throw decorum to the wind. When Johnson returns to the classroom, she does so armed with a no-nonsense attitude informed by her military training and a fearless determination to better the lives of her students -- no matter what the cost.",20,179519401,She broke the rules... and changed their lives.,6,866,27475
32,twelve monkeys,drama sci-fi,1995,en,29000000,"In the year 2035, convict James Cole reluctantly volunteers to be sent back in time to discover the origin of a deadly virus that wiped out nearly all of the earth's population and forced the survivors into underground communities. But when Cole is mistakenly sent to 1990 instead of 1996, he's arrested and locked up in a mental hospital. There he meets psychiatrist Dr. Kathryn Railly, and patient Jeffrey Goines, the son of a famous virus expert, who may hold the key to the mysterious rogue group, the Army of the 12 Monkeys, thought to be responsible for unleashing the killer disease.",24,168841459,The future is history.,7,6738,27475
33,wings of courage,adventure romance,1995,fr,0,"In 1920's South America a small group of Americans struggle to prove they can offer a reliable airmail service over the Andes. When one of the young pilots crashes on such a flight he has to try and get back to civilization on foot. Back home, his wife and colleagues start to fear the worst.",2,0,,6,14,27475
34,babe,children's comedy drama,1995,en,30000000,"Babe is a little pig who doesn't quite know his place in the world. With a bunch of odd friends, like Ferdinand the duck who thinks he is a rooster and Fly the dog he calls mum, Babe realises that he has the makings to become the greatest sheep pig of all time, and Farmer Hogget knows it. With the help of the sheep dogs, Babe learns that a pig can be anything that he wants to be.",24,254134910,A little pig goes a long way.,6,2358,27475
35,carrington,drama romance,1995,en,0,"Painter Dora Carrington develops an intimate but extremely complex bond with writer Lytton Strachey. Though Lytton is a homosexual, he is enchanted by the mysterious Dora and they begin a lifelong friendship that has strangely romantic undertones. Eventually, Lytton and Dora decide to live together, despite the fact that the latter has fallen in love with military man Ralph Partridge, whom she plans to marry.",6,0,A Love so Unusual it has to be True,6,53,27475
36,dead man walking,drama,1995,en,11000000,"A justice drama based on a true story about a man on death row who, in his last days, forms a strong relationship with a nun who teaches him forgiveness and gives him spirituality, as she accompanies him to his execution.",14,39363635,,7,1043,27475
37,across the sea of time,documentary,1995,en,0,"A young Russian boy, Thomas Minton, travels to New York as a passenger on a Russian freighter. Close to Ellis Island he gets off and thus starts his journey to America the same way as all immigrants in former times. Thomas is searching for the family of one of his ancestors, who had emigrated decades ago, but once sent a letter home together with a sample of his new profession: 3D-Photography. The boy follows his relative's traces by counter-checking the old 3D-Photographs of New York (using an antique viewer) with the same places and how they look today. This way, the audience gets to see the Big Apple in former times as well as today.",1,16015639,,4,3,27475
38,it takes two,comedy,1995,en,0,"Identical 9-year-olds from very different backgrounds: orphaned Amanda and wealthy Alyssa meet at summer camp and decide to switch places -- and play matchmaker between Alyssa's dad, Roger, and the kind social worker who cares for Amanda.",18,19474589,Two identical strangers. Two different worlds. One perfect match.,6,724,27475
39,clueless,comedy romance,1995,en,12000000,"Shallow, rich and socially successful Cher is at the top of her Beverly Hills high school's pecking scale. Seeing herself as a matchmaker, Cher first coaxes two teachers into dating each other. Emboldened by her success, she decides to give hopelessly klutzy new student Tai a makeover. When Tai becomes more popular than she is, Cher realizes that her disapproving ex-stepbrother was right about how misguided she was -- and falls for him.",35,56631572,Sex. Clothes. Popularity. Is there a problem here?,7,3406,27475
40,"cry, the beloved country",drama,1995,en,0,A South-African preacher goes to search for his wayward son who has committed a crime in the big city.,4,676525,,6,20,27475
41,richard iii,drama war,1995,en,0,"A murderous lust for the British throne sees Richard III descend into madness. Though the setting is transposed to the 1930s, England is torn by civil war, split between the rivaling houses of York and Lancaster. Richard aspires to a fascist dictatorship, but must first remove the obstacles to his ascension—among them his brother, his nephews and his brother's wife. When the Duke of Buckingham deserts him, Richard's plans are compromised.",9,2748518,"I can smile, and murder while I smile",6,135,27475
42,dead presidents,action crime drama,1995,en,10000000,On the streets they call cash dead presidents. And that's just what a Vietnam veteran is after when he returns home from the war only to find himself drawn into a life of crime. With the aid of his fellow vets he plans the ultimate heist -- a daring robbery of an armored car filled with unmarked U.S. currency!,11,24147179,"In this daring heist, the only color that counts is green",6,209,27475
43,restoration,drama,1995,en,19000000,"An aspiring young physician, Robert Merivel found himself in the service of King Charles II and saves the life of someone close to the King. Merivel joins the King's court and lives the high life provided to someone of his position. Merivel is ordered to marry his King's mistress in order to divert the queens suspicions. He is given one order by the king and that is not to fall in love. The situation worsens when Merivel finds himself in love with his new wife. Eventually, the King finds out and relieves Merivel of his position and wealth. His fall from grace leaves Merivel where he first started. And through his travels and reunions with an old friend, he rediscovers his love for true medicine and what it really means to be a physician.",9,0,"An ordinary man, an irresistible offer. In a world of seduction and power, temptation has its price.",6,86,27475
44,mortal kombat,action adventure,1995,en,20000000,"Washed-up MMA fighter Cole Young, unaware of his heritage, and hunted by Emperor Shang Tsung's best warrior, Sub-Zero, seeks out and trains with Earth's greatest champions as he prepares to stand against the enemies of Outworld in a high stakes battle for the universe.",427,83601013,Get over here.,7,4462,27475
45,to die for,comedy drama,1995,en,20000000,"Suzanne Stone wants to be a world-famous news anchor and she is willing to do anything to get what she wants. What she lacks in intelligence, she makes up for in cold determination and diabolical wiles. As she pursues her goal with relentless focus, she is forced to destroy anything and anyone that may stand in her way, regardless of the ultimate cost or means necessary.",11,21284514,All she wanted was a little attention,6,589,27475
46,how to make an american quilt,drama romance,1995,en,10000000,"Soon-to-be-wed graduate student Finn Dodd develops cold feet when she suspects her fiancé is cheating on her. In order to clear her head, Finn visits her grandmother, Hy, and great aunt, Glady Joe Cleary, in Grasse, Calif. There, Finn learns that Hy and Glady Joe are members of a group of passionate quilters, and over the course of her visit she is regaled with tales of love and life by women who have collected rich experiences and much wisdom.",11,41200020,There's beauty in the patterns of life.,6,140,27475
47,seven (se7en),crime thriller,1995,en,33000000,"Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Sommerset researches each sin in an effort to get inside the killer's mind, while his novice partner, Mills, scoffs at his efforts to unravel the case.",44,327311859,Seven deadly sins. Seven ways to die.,8,16722,27475
48,pocahontas,animation children's musical romance,1995,en,55000000,"Pocahontas, daughter of a Native American tribe chief, falls in love with an English soldier as colonists invade 17th century Virginia.",47,346079773,An American legend comes to life.,7,4763,27475
49,when night is falling,drama romance,1995,en,0,"A prudish woman working on tenure as a literacy professor at a large urban university finds herself attracted to a free-spirited, liberal woman who works at a local carnival.",10,0,,6,52,27475
50,"usual suspects, the",crime thriller,1995,en,0,A documentary on classic character actors,0,0,,0,0,27475
51,guardian angel,action drama thriller,1994,en,3500000,"Copenhagen, Denmark, 1951. Criminal investigator Anders Olsen follows the case of a bank robber who eyewitnesses say appears to have been acting under some kind of trance.",8,0,Who controls your mind?,5,28,27475
52,mighty aphrodite,comedy,1995,en,15000000,"When Lenny and his wife, Amanda, adopt a baby, Lenny realizes that his son is a genius and becomes obsessed with finding the boy's biological mother in hopes that she will be brilliant too. But when he learns that Max's mother is Linda Ash, a kindhearted prostitute and porn star, Lenny is determined to reform her immoral lifestyle. A Greek chorus chimes in to relate the plot to Greek mythology in this quirky comedy.",10,6700000,"Of all human weaknesses, obsession is the most dangerous, and the silliest!",6,505,27475
53,lamerica,drama,1994,it,0,"Fiore, an Italian conman, arrives in post Communist Albania with Gino, his young apprentice, to set up a shoe factory that will never open. The con requires a native Albanian, so they designate Spiro, an impoverished and confused former political prisoner as chairman of the board. When Fiore returns to Italy to get government funds for the project, Spiro unexpectedly disappears and Gino sets out on a journey to find him. The search leads him to discover Spiro's tragic personal history and witness Albanian poverty firsthand.",2,0,,7,44,27475
54,"big green, the",children's comedy,1995,en,0,"No-budget, silent, Super 8 horror-comedy filmed some time in the early '80s about a suburban cannibal who lives in the titular Big Green House on the Corner.",0,0,,0,0,27475
55,georgia,drama,1995,en,20000000,"Georgia Rule follows a rebellious, uncontrollable teenager who is hauled off by her dysfunctional mother to spend the summer with her grandmother. Her journey will lead all three women to revelations of buried family secrets and an understanding that - regardless what happens - the ties that bind can never be broken.",11,25000167,"Mother. Daughter. Grandmother. In this family, attitude doesn't skip a generation.",6,364,27475
56,kids of the round table,adventure children's fantasy,1995,en,0,"Set in modern times, Alex finds King Arthur's sword Excalibur and must prove himself worthy of it.",1,0,,3,3,27475
57,home for the holidays,drama,1995,en,0,"After losing her job, making out with her soon to be ex-boss, and finding out that her daughter plans to spend Thanksgiving with her boyfriend, Claudia Larson has to face spending the holiday with her family. She wonders if she can survive their crazy antics.",8,17519169,We'll do it every year... until we get it right.,6,134,27475
58,"postino, il (the postman)",drama romance,1994,it,0,Simple Italian postman learns to love poetry while delivering mail to a famous poet; he uses this to woo local beauty Beatrice.,10,0,Dreams do come true.,8,900,27475
59,"confessional, the (le confessionnal)",drama mystery,1995,en,0,A disturbed sculptor assumes the identity of a small town priest and designs a game of divine madness for a unsuspecting town.,1,0,,0,0,27475
60,"indian in the cupboard, the",adventure children's fantasy,1995,en,45000000,A nine-year-old boy gets a plastic Indian and a cupboard for his birthday and finds himself involved in adventure when the Indian comes to life and befriends him.,38,0,,6,473,27475
61,eye for an eye,drama thriller,1996,en,20000000,"It's fire and brimstone time as grieving mother Karen McCann takes justice into her own hands when a kangaroo court in Los Angeles fails to convict Robert Doob, the monster who raped and murdered her 17-year-old daughter.",10,26877589,What do you do when justice fails?,6,252,27475
62,mr. holland's opus,drama,1995,en,31000000,"In 1965, passionate musician Glenn Holland takes a day job as a high school music teacher, convinced it's just a small obstacle on the road to his true calling: writing a historic opus. As the decades roll by with the composition unwritten but generations of students inspired through his teaching, Holland must redefine his life's purpose.",11,106269971,"Of All the Lives He Changed, the One That Changed the Most Was His Own.",7,307,27475
63,don't be a menace to south central while drinking your juice in the hood,comedy,1996,en,3800000,"When Ashtray (Shawn Wayans) moves to South Central L.A. to live with his father (who appears to be the same age he is) and grandmother (who likes to talk tough and smoke reefer), he falls in with his gang-banging cousin Loc Dog (Marlon Wayans), who along with the requisite pistols and Uzi carries a thermo-nuclear warhead for self-defense. Will Ashtray be able to keep living the straight life?",60,20109115,"Finally, the movie that proves that Justice isn't always Poetic, Jungle Fever isn't always pretty, and Higher Learning can be a waste of time.",6,898,27475
64,two if by sea,comedy romance,1996,en,0,"Frank O'Brien, a petty thief, and his 7-year-long girlfriend Roz want to put an end to their unsteady lifestyle and just do that last job, which involves stealing a valuable painting. Frank takes Roz to an island on the coast of New England, where he wants to sell the painting and also hopes that their sagging relationship will get a positive push back up. Not everything goes as planned.",7,10658278,"A new comedy about love, laughter, and larceny",4,68,27475
65,bio-dome,comedy,1996,en,8500000,"Bud and Doyle are two losers who are doing nothing with their lives. Both of their girlfriends are actively involved in saving the environment, but the two friends couldn't care less about saving the Earth. One day, when a group of scientists begin a mission to live inside a ""Bio-Dome"" for a year without outside contact, Bud and Doyle mistakenly become part of the project themselves.",13,13400000,Bud and Doyle are here to save the world. But who's gonna save the world from Bud and Doyle?,4,274,27475
66,lawnmower man 2: beyond cyberspace,sci-fi thriller,1996,en,15000000,"Jobe is resuscitated by Jonathan Walker. He wants Jobe to create a special computer chip that would connect all the computers in the world into one network, which Walker would control and use. But what Walker doesn't realize is a group of teenage hackers are on to him and out to stop his plan.",10,2409225,"God made him simple. Science made him a god. Now, he wants revenge.",2,106,27475
67,two bits,drama,1995,en,0,"It's a hot summer day in 1933 in South Philly, where 12-year old Gennaro lives with his widowed mom and his ailing grandpa, who sits outside holding tight to his last quarter, which he's promised to Gennaro and which Gennaro would like to have to buy a ticket to the plush new movie theater. But grandpa's not ready to pass on the quarter or pass on to his final reward: he has some unfinished business with a woman from his past, and he enlists Gennaro to act as his emissary.",8,0,You're never too old to believe in a dream. Or too young to make one come true!,6,43,27475
68,french twist (gazon maudit),comedy romance,1995,fr,0,"After learning of her husband's infidelities, a housewife invites an itinerant lesbian to move in with them. None of their lives will ever be the same again.",9,0,A scorned wife. An outrageous affair. The perfect revenge.,6,244,27475
69,friday,comedy,1995,en,3500000,"Craig and Smokey are two guys in Los Angeles hanging out on their porch on a Friday afternoon, smoking and drinking, looking for something to do.",38,28215918,A lot can go down between thursday and saturday...,7,1335,27475
70,from dusk till dawn,action comedy crime horror thriller,1996,en,19000000,"Seth Gecko and his younger brother Richard are on the run after a bloody bank robbery in Texas. They escape across the border into Mexico and will be home-free the next morning, when they pay off the local kingpin. They just have to survive 'from dusk till dawn' at the rendezvous point, which turns out to be a Hell of a strip joint.",28,25836616,One night is all that stands between them and freedom. But it's going to be a hell of a night.,7,4735,27475
71,fair game,action,1995,en,50000000,"Max Kirkpatrick is a cop who protects Kate McQuean, a civil law attorney, from a renegade KGB team out to terminate her",17,11534477,He's a cop on the edge. She's a woman with a dangerous secret. And now they're both...,4,224,27475
72,kicking and screaming,comedy drama,1995,en,45000000,"Phil Weston has been unathletic his entire life. In college he failed at every sport that he tried out for. It looks like his 10-year old son, Sam, is following in his footsteps. But when Phil's hyper-competitive dad benches Sam, Phil decides to transfer his son to a new team which needs a coach. Phil steps in to be the temporary coach and immediately begins to butt heads with this dad over this new competition in their lives.",17,56070433,One man could lead this team to glory... That man was busy.,5,496,27475
73,"misérables, les",drama musical,1995,fr,0,"Inspired by the 2005 riots in Paris, Stéphane, a recent transplant to the impoverished suburb of Montfermeil, joins the local anti-crime squad. Working alongside his unscrupulous colleagues Chris and Gwada, Stéphane struggles to maintain order amidst the mounting tensions between local gangs. When an arrest turns unexpectedly violent, the three officers must reckon with the aftermath and keep the neighborhood from spiraling out of control.",32,0,,7,1151,27475
74,bed of roses,drama romance,1996,en,0,"The seeds of love are planted when Lisa, a high-powered investment banker, receives flowers from a secret admirer. But when his fairy-tale fantasies clash with her workaholic ways, they soon find out that sometimes, it's harder than it seems for love to conquer all.",7,19030691,He gave her flowers. She gave him a chance.,6,91,27475
75,big bully,comedy drama,1996,en,15000000,"A writer returns to his hometown where he faces the childhood nemesis whose life he ultimately ruined, only the bully wants to relive their painful past by torturing him once again.",7,2042530,A comedy for the kid in all of us.,4,55,27475
76,screamers,sci-fi thriller,1995,en,20000000,"SIRIUS 6B, Year 2078. On a distant mining planet ravaged by a decade of war, scientists have created the perfect weapon: a blade-wielding, self-replicating race of killing devices known as Screamers designed for one purpose only -- to hunt down and destroy all enemy life forms.",11,5781885,The last scream you hear will be your own.,6,391,27475
77,nico icon,documentary,1995,en,0,"A look into the many lives of Christa Päffgen, otherwise known as Nico; from cutie German mädchen to the first of the supermodels, to glamorous diva of the Velvet Underground, to cult item, junkie and hag. Many faces for the same woman, whom, you realize, just couldn't bring herself to care enough to live.",1,0,,7,7,27475
78,"crossing guard, the",drama,1995,en,0,"After his daughter died in a hit and run, Freddy Gale has waited six years for John Booth, the man responsible, to be released from prison. On the day of release, Gale visits Booth and announces that he will kill him in one week. Booth uses his time to try and make peace with himself and his entourage, and even finds romance. Gale, whose life is spiraling down because of his obsession towards Booth, will bring himself on the very edge of sanity. At he end of the week, both men will find themselves on a collision course with each other.",8,0,"...some lives cross, others collide.",6,195,27475
79,"juror, the",drama thriller,1996,en,44000000,"With his gangster boss on trial for murder, a mob thug known as ""the Teacher"" tells Annie Laird she must talk her fellow jurors into a not-guilty verdict, implying that he'll kill her son Oliver if she fails. She manages to do this, but, when it becomes clear that the mobsters might want to silence her for good, she sends Oliver abroad and tries to gather evidence of the plot against her, setting up a final showdown.",10,22754725,There is no defense.,5,280,27475
80,"white balloon, the (badkonake sefid )",drama,1995,fa,0,Several people try to take advantage of a little girl's innocence to hustle money her mom gave to her to buy a goldfish with.,5,0,,7,59,27475
81,things to do in denver when you're dead,crime drama romance,1995,en,8000000,Five different criminals face imminent death after botching a job quite badly.,9,529766,Protect. Love. Honor. Avenge.,6,288,27475
82,antonia's line (antonia),drama,1995,nl,900000,"After World War II, Antonia and her daughter, Danielle, go back to their Dutch hometown, where Antonia's late mother has bestowed a small farm upon her. There, Antonia settles down and joins a tightly-knit but unusual community. Those around her include quirky friend Crooked Finger, would-be suitor Bas and, eventually for Antonia, a granddaughter and great-granddaughter who help create a strong family of empowered women.",8,0,A motion picture that celebrates everything you love about life.,6,83,27475
83,once upon a time... when we were colored,drama,1995,en,0,"This film relates the story of a tightly connected Afro-American community informally called Colored Town where the inhabitants live and depend on each other in a world where racist oppression is everywhere, as told by a boy called Cliff who spent his childhood there. Despite this, we see the life of the community in all its joys and sorrows, of those that live there while others decide to leave for a better life north. For those remaining, things come to a serious situation when one prominent businessman is being muscled out by a white competitor using racist intimidation. In response, the community must make the decision of whether to submit meekly like they always have, or finally fight for their rights.",2,0,,5,3,27475
84,last summer in the hamptons,comedy drama,1995,en,0,"Helena Mora, the head of an eccentric theatrical family, has decided to sell her large estate in the Hamptons because of her recent money troubles. Before she completes the sale, she wants to have one last gathering of family and friends, with dramatic performances. Bringing everyone together, though, creates rivalries and tension, especially for Oona, a temperamental but successful movie actress who seeks the approval of her creative peers.",1,0,,9,1,27475
85,angels and insects,drama romance,1995,en,0,"In Victorian England, wealthy patriarch Sir Harald Alabaster invites an impoverished biologist, William Adamson, into his home. There, William tries to continue his work, but is distracted by Alabaster's seductive daughter, Eugenia. William and Eugenia begin a torrid romance, but as the couple become closer, the young scientist begins to realize that dark, disturbing things are happening behind the closed doors of the Alabaster manor.",6,0,An elegant seduction. An erotic deception. A stunning revelation.,6,39,27475
86,white squall,adventure drama,1996,en,38000000,"In 1960, a hardy group of prep school students boards an old-fashioned sailing ship. With Capt. Christopher Sheldon at the helm, the oceangoing voyage is intended to teach the boys fortitude and discipline. But the youthful crew are about to get some unexpected instruction in survival when they get caught in the clutches of a white squall storm.",12,10300000,The strongest will in nature is the will to survive.,6,258,27475
87,dunston checks in,children's comedy,1996,en,16000000,"Hotel manager Robert Grant is forced by his boss to postpone his family vacation when a hotel critic checks in. Trouble is, the critic is really a villainous jewel thief with an orangutan assistant named Dunston. When Dunston gets loose and tries to escape a life of crime -- aided by Robert's sons -- havoc, hijinks and lots of laughs abound!",11,0,He's about to turn a Five Star Hotel into a three ring circus.,5,173,27475
88,black sheep,comedy,1996,en,0,A genetic engineering experiment gone horribly awry turns a large flock of docile sheep into unrelenting killing machines.,16,4947717,"There are over 40 million sheep in New Zealand, and they're pissed off!",5,555,27475
89,nick of time,action thriller,1995,en,8169363,"An unimpressive, every-day man is forced into a situation where he is told to kill a politician to save his kidnapped daughter.",12,8175346,,6,539,27475
90,"journey of august king, the",drama,1995,en,0,"The Journey of August King is a multi-dimensional drama about a North Carolina farmer in 1815. August King, a widower, is on his way home as he does every year after selling his produce and purchasing the stock and goods he will need to survive the winter. On his journey, he comes upon a run-away slave, a young woman about 19 and August King must decide to violate the law and help this slave to freedom or else leave her to be hunted down and, ultimately, returned to her slave owner.",3,0,,6,10,27475
